name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
29,15,43777,AC,3.2823669793882706,0.40622767698799345,4.419032465706598e-05,24110.0,True,24110.0,85701.48628821915,0.6892160929075073,40.0,5.796621303739286,168.80350528293715,19.0,,380.0,2.2731073264461707e-05,2.813211059473639e-06,24126.84446330823,CH
3,0,6,AC,7.526216083682224,0.8384819756349812,0.0021074918962733485,7160.0,True,7160.0,10741.486288219148,0.7,40.0,93.30198054591825,119.54264615473741,2.0,,380.0,5.212060999779933e-05,5.806661881128679e-06,7160.211815450087,DE
30,15,43781,AC,29.757649573221784,3.511209393472806,8.347769428330237e-06,5890.0,True,5890.0,19981.48628821915,0.7,39.99999999999999,11.441799526684322,447.5372577376634,4.0,,380.0,0.0002060779056317298,2.4315854525434943e-05,7336.575149789824,FR
31,15,9,AC,3.7961739679540467,0.4694436838732324,0.0052943087276628685,19750.0,True,19750.0,73918.38590445546,0.6894683544303797,40.0,103.42930318194732,159.8928495765068,13.0,,380.0,2.628929340688398e-05,3.2509950406733544e-06,19750.480367388078,DE
32,2,43781,AC,22.257390483836588,2.7295615372507855,4.3774268838571635e-06,6930.0,True,6930.0,16981.48628821915,0.6699855699855699,40.0,9.45235796947773,441.70415180106727,5.0,,380.0,0.00015413705321216473,1.8902780728883557e-05,11300.838920634838,FR
33,2,43784,AC,8.29912772908081,2.8794455869769244,5.5879474308828214e-05,3120.0,True,3120.0,12480.0,0.7,40.0,16.337414866781216,70.64147093121616,5.0,,380.0,5.747318371939619e-05,1.994075891258258e-05,4443.75238188632,LU
34,2,9,AC,2.4656162371213868,0.31059051931810205,0.0030122495216237787,21570.0,True,21570.0,89465.27395319368,0.6734816875289754,40.0,55.39782956557534,109.5235714680153,20.0,,380.0,1.707490468920628e-05,2.1509038733940584e-06,21570.853515709347,DE
35,3,43787,AC,38.78880364056333,4.321402801132994,0.0020967362142473083,3580.0,True,3580.0,14320.0,0.7,40.0,200.46684771571518,342.46271875499156,2.0,,380.0,0.0002686205238266159,2.9926612196211867e-05,3828.263520113317,PL
36,3,5,AC,0.0029638116761932162,0.0,7.634787752351599e-05,21180.0,True,6180.0,inf,0.6852691218130311,40.0,1661.8081566351375,156.63094548422933,11.0,,380.0,2.052501160798626e-08,0.0,9256.16845381152,DE
37,4,43775,AC,11.833677797169694,1.7095100950069857,0.0001136387213965788,8770.0,True,8770.0,31501.48628821915,0.6817559863169897,40.0,22.052250914294895,220.33875691315245,9.0,,380.0,8.19506772657181e-05,1.1838712569300454e-05,8774.98032113432,AT
38,4,8,AC,7.0070419092153555,0.8838712514025736,0.0014261879908426403,9760.0,True,9760.0,44661.96930364804,0.6680327868852458,40.0,66.32337188844669,136.8856674668585,11.0,,380.0,4.852522097794567e-05,6.120992045724194e-06,9760.87454229128,DE
