name,lifetime,e_cyclic,bus,capital_cost,e_nom,e_initial,e_nom_extendable,carrier,e_nom_max,e_nom_opt
48888 H2_overground,30.0,True,48888,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342431997411043
48889 H2_overground,30.0,True,48889,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342426982230828
48890 H2_overground,30.0,True,48890,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342395696503164
48891 H2_overground,30.0,True,48891,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342426392217967
48892 H2_overground,30.0,True,48892,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342427542560766
48893 H2_overground,30.0,True,48893,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342414981926794
48894 H2_overground,30.0,True,48894,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.153424241007395
48895 H2_overground,30.0,True,48895,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534240330947762
48896 H2_overground,30.0,True,48896,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342414232983537
48897 H2_overground,30.0,True,48897,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342431890168512
48898 H2_overground,30.0,True,48898,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342406841542322
48899 H2_overground,30.0,True,48899,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342426522799146
48900 H2_overground,30.0,True,48900,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534242805949424
48901 H2_overground,30.0,True,48901,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534243505696607
48902 H2_overground,30.0,True,48902,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342432369989517
48903 H2_overground,30.0,True,48903,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342427631096017
48904 H2_overground,30.0,True,48904,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534242379845891
48905 H2_overground,30.0,True,48905,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534241181077311
48906 H2_overground,30.0,True,48906,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342426908818424
48907 H2_overground,30.0,True,48907,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534242764413607
