name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
32941 battery,eGon2035,32941,battery,0.0,True,1.5905116328675761,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,1.5905116881643968
32958 battery,eGon2035,32958,battery,0.0,True,0.9137070565671622,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.9137071924263978
32959 battery,eGon2035,32959,battery,0.0,True,0.9823007129901093,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.9823007994599928
32976 battery,eGon2035,32976,battery,0.0,True,0.35656407641126164,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.3565641505813662
32987 battery,eGon2035,32987,battery,0.0,True,0.16942067670606126,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.16942070815584923
33023 battery,eGon2035,33023,battery,0.0,True,0.1243104201790287,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.12431043034343765
33024 battery,eGon2035,33024,battery,0.0,True,2.707786527479755,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,2.70778666019779
33458 battery,eGon2035,33458,battery,0.0,True,1.1719755669494945,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,1.171975645420962
33945 battery,eGon2035,33945,battery,0.0,True,0.4157097448055852,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.41570982655778305
34192 battery,eGon2035,34192,battery,0.0,True,0.9919220358863018,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.9919221060775376
34697 battery,eGon2035,34697,battery,0.0,True,0.9404458396656042,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.940445974969325
34709 battery,eGon2035,34709,battery,0.0,True,0.8243548150327251,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.8243550632849422
34938 battery,eGon2035,34938,battery,0.0,True,0.3823303068561991,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.3823303200697714
35529 battery,eGon2035,35529,battery,0.0,True,1.6903632758782807,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,1.6903633321390135
35572 battery,eGon2035,35572,battery,0.0,True,0.08519640177574274,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.08519649203616224
35655 battery,eGon2035,35655,battery,0.0,True,2.632148099365004,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,2.6321481803183078
35725 battery,eGon2035,35725,battery,0.0,True,10.769095611184367,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,10.769095645783691
36141 battery,eGon2035,36141,battery,0.0,True,0.2043430088323207,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.2043430882128937
36148 battery,eGon2035,36148,battery,0.0,True,0.4982181114143005,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,0.4982182075063864
4 battery,eGon2035,4,battery,0.0,True,636.3917512090555,1.0,221.79337845314456,True,6.000000000000001,0.9797958971132711,0.9797958971132711,PV,636.3917512378031
4 pumped_hydro,eGon2035,4,pumped_hydro,845.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844387,0.8660254037844387,PV,845.0
43775 battery,eGon2035,43775,battery,1767.57494945,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,PV,1767.57494945
43775 pumped_hydro,eGon2035,43775,pumped_hydro,300.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,300.0
