name,scn_name,bus,carrier,p_set
77552 central_heat,eGon2035,77552,central_heat,0.0
77553 central_heat,eGon2035,77553,central_heat,0.0
77555 central_heat,eGon2035,77555,central_heat,0.0
77556 central_heat,eGon2035,77556,central_heat,0.0
77557 central_heat,eGon2035,77557,central_heat,0.0
77558 central_heat,eGon2035,77558,central_heat,0.0
77559 central_heat,eGon2035,77559,central_heat,0.0
77560 central_heat,eGon2035,77560,central_heat,0.0
77562 central_heat,eGon2035,77562,central_heat,0.0
77564 central_heat,eGon2035,77564,central_heat,0.0
77565 central_heat,eGon2035,77565,central_heat,0.0
77566 central_heat,eGon2035,77566,central_heat,0.0
77568 central_heat,eGon2035,77568,central_heat,0.0
77569 central_heat,eGon2035,77569,central_heat,0.0
77570 central_heat,eGon2035,77570,central_heat,0.0
77574 central_heat,eGon2035,77574,central_heat,0.0
77575 central_heat,eGon2035,77575,central_heat,0.0
77576 central_heat,eGon2035,77576,central_heat,0.0
77582 central_heat,eGon2035,77582,central_heat,0.0
77585 central_heat,eGon2035,77585,central_heat,0.0
8 AC,eGon2035,8,AC,0.0
9 AC,eGon2035,9,AC,0.0
