name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
48644 CH4,eGon2035,48644,CH4,110961282.95347735,False,inf,0.0,True,0.0,110961282.95347735
48645 CH4,eGon2035,48645,CH4,45093072.66459372,False,inf,0.0,True,0.0,45093072.66459372
48647 CH4,eGon2035,48647,CH4,98781272.36350779,False,inf,0.0,True,0.0,98781272.36350779
48649 CH4,eGon2035,48649,CH4,40085545.400267825,False,inf,0.0,True,0.0,40085545.400267825
48650 CH4,eGon2035,48650,CH4,3268835.936014453,False,inf,0.0,True,0.0,3268835.936014453
48653 H2_underground,eGon2035,48653,H2_underground,0.0,True,167289.005498628,0.0,True,0.301953738430289,0.00012369029256123227
48679 H2_underground,eGon2035,48679,H2_underground,0.0,True,54843.63449748991,0.0,True,0.301953738430289,0.00011712948346139667
48680 H2_underground,eGon2035,48680,H2_underground,0.0,True,282270.1872258718,0.0,True,0.301953738430289,0.00012736898146511024
48695 H2_underground,eGon2035,48695,H2_underground,0.0,True,1501537.0743464525,0.0,True,0.301953738430289,0.0001559194939764715
48697 H2_underground,eGon2035,48697,H2_underground,0.0,True,28100.85272722856,0.0,True,0.301953738430289,0.00011170314056962994
48700 H2_underground,eGon2035,48700,H2_underground,0.0,True,217100.15200817504,0.0,True,0.301953738430289,0.00012464352249557558
48701 H2_underground,eGon2035,48701,H2_underground,0.0,True,53341.73434828414,0.0,True,0.301953738430289,0.00011686618835378458
48707 H2_underground,eGon2035,48707,H2_underground,0.0,True,244200.5683951289,0.0,True,0.301953738430289,0.00012294786445153237
48716 H2_underground,eGon2035,48716,H2_underground,0.0,True,556030.2816965858,0.0,True,0.301953738430289,0.0001370097731287548
48763 H2_underground,eGon2035,48763,H2_underground,0.0,True,853834.3091399602,0.0,True,0.301953738430289,0.00015066182215651102
48764 H2_underground,eGon2035,48764,H2_underground,0.0,True,889375.6087939356,0.0,True,0.301953738430289,0.00014794049393132742
48765 H2_underground,eGon2035,48765,H2_underground,0.0,True,1244799.4303732235,0.0,True,0.301953738430289,0.0001584717855274469
48767 H2_underground,eGon2035,48767,H2_underground,0.0,True,233794.57472687427,0.0,True,0.301953738430289,0.00012519100090889088
48769 H2_underground,eGon2035,48769,H2_underground,0.0,True,395750.9687180958,0.0,True,0.301953738430289,0.0001299057821278045
48783 H2_underground,eGon2035,48783,H2_underground,0.0,True,49394.28518222402,0.0,True,0.301953738430289,0.00011491835869652548
48785 H2_underground,eGon2035,48785,H2_underground,0.0,True,487946.7055988727,0.0,True,0.301953738430289,0.00013408848163238597
48810 H2_underground,eGon2035,48810,H2_underground,0.0,True,857145.7834464507,0.0,True,0.301953738430289,0.00015074778088393663
63652 central_heat_store,eGon2035,63652,central_heat_store,0.0,True,inf,0.0,False,0.1263536910808198,0.00017127749864379624
63810 central_heat_store,eGon2035,63810,central_heat_store,0.0,True,inf,0.0,False,0.1263536910808198,0.00017145617057363264
64236 central_heat_store,eGon2035,64236,central_heat_store,0.0,True,inf,0.0,False,0.1263536910808198,0.00017114095726471733
