name,max_hours,lifetime,bus,efficiency_dispatch,capital_cost,p_nom,control,p_nom_min,efficiency_store,carrier,p_nom_extendable,p_nom_opt
35323 battery,6.0,27.5,35323,0.9797958971132712,73.93112615104819,0.0,PV,3.7756819270056257,0.9797958971132712,battery,True,3.7756820298686344
35431 battery,6.0,27.5,35431,0.9797958971132712,73.93112615104819,0.0,PV,0.27586355635505944,0.9797958971132712,battery,True,0.2758636511280976
35440 battery,6.0,27.5,35440,0.9797958971132712,73.93112615104819,0.0,PV,7.303259127432756,0.9797958971132712,battery,True,7.3032592318898955
35458 battery,6.0,27.5,35458,0.9797958971132712,73.93112615104819,0.0,PV,0.5769677418556901,0.9797958971132712,battery,True,0.5769678434018148
35485 battery,6.0,27.5,35485,0.9797958971132712,73.93112615104819,0.0,PV,0.4828668084090898,0.9797958971132712,battery,True,0.48286690854093733
35510 battery,6.0,27.5,35510,0.9797958971132712,73.93112615104819,0.0,PV,0.6077473368771398,0.9797958971132712,battery,True,0.6077474373412706
35529 battery,6.0,27.5,35529,0.9797958971132712,73.93112615104819,0.0,PV,1.6903632758782807,0.9797958971132712,battery,True,1.6903633676039511
35553 battery,6.0,27.5,35553,0.9797958971132712,73.93112615104819,0.0,PV,0.7411882986431366,0.9797958971132712,battery,True,0.7411884001112491
35572 battery,6.0,27.5,35572,0.9797958971132712,73.93112615104819,0.0,PV,0.08519640177574274,0.9797958971132712,battery,True,0.08519647229461091
35573 battery,6.0,27.5,35573,0.9797958971132712,73.93112615104819,0.0,PV,0.004798967012356594,0.9797958971132712,battery,True,0.0047991527166269185
35655 battery,6.0,27.5,35655,0.9797958971132712,73.93112615104819,0.0,PV,2.632148099365004,0.9797958971132712,battery,True,2.6321481960223103
35725 battery,6.0,27.5,35725,0.9797958971132712,73.93112615104819,0.0,PV,10.769095611184367,0.9797958971132712,battery,True,10.769095719107678
35906 battery,6.0,27.5,35906,0.9797958971132712,73.93112615104819,0.0,PV,11.221650845259054,0.9797958971132712,battery,True,11.221650950011687
35935 battery,6.0,27.5,35935,0.9797958971132712,73.93112615104819,0.0,PV,4.283271889959132,0.9797958971132712,battery,True,4.283271992594821
36053 battery,6.0,27.5,36053,0.9797958971132712,73.93112615104819,0.0,PV,0.9291760836866377,0.9797958971132712,battery,True,0.9291761813601891
36054 battery,6.0,27.5,36054,0.9797958971132712,73.93112615104819,0.0,PV,45.391282740387254,0.9797958971132712,battery,True,45.391282833782164
36141 battery,6.0,27.5,36141,0.9797958971132712,73.93112615104819,0.0,PV,0.2043430088323207,0.9797958971132712,battery,True,0.20434309991487812
36148 battery,6.0,27.5,36148,0.9797958971132712,73.93112615104819,0.0,PV,0.4982181114143005,0.9797958971132712,battery,True,0.49821821229080704
36168 battery,6.0,27.5,36168,0.9797958971132712,73.93112615104819,0.0,PV,2.238871391496048,0.9797958971132712,battery,True,2.23887148549993
4 battery,6.0,27.5,4,0.9797958971132712,73.93112615104819,0.0,PV,282.24987261485717,0.9797958971132712,battery,True,282.24987269374947
43775 battery,6.0,27.5,43775,0.9797958971132712,0.0,1767.57494945,PV,0.0,0.9797958971132712,battery,False,1767.57494945
43775 pumped_hydro,6.0,27.5,43775,0.8660254037844386,0.0,300.0,PV,0.0,0.8660254037844386,pumped_hydro,False,300.0
43776 battery,6.0,27.5,43776,0.9797958971132712,0.0,1350.0,PV,0.0,0.9797958971132712,battery,False,1350.0
43776 pumped_hydro,6.0,27.5,43776,0.8660254037844386,0.0,1395.0,PV,0.0,0.8660254037844386,pumped_hydro,False,1395.0
43777 battery,6.0,27.5,43777,0.9797958971132712,0.0,1047.2089756,PV,0.0,0.9797958971132712,battery,False,1047.2089756
43777 pumped_hydro,6.0,27.5,43777,0.8660254037844386,0.0,3989.0,PV,0.0,0.8660254037844386,pumped_hydro,False,3989.0
43778 battery,6.0,27.5,43778,0.9797958971132712,0.0,1337.0050395500002,PV,0.0,0.9797958971132712,battery,False,1337.0050395500002
43778 pumped_hydro,6.0,27.5,43778,0.8660254037844386,0.0,687.5999756,PV,0.0,0.8660254037844386,pumped_hydro,False,687.5999756
43779 battery,6.0,27.5,43779,0.9797958971132712,0.0,768.8703331500001,PV,0.0,0.9797958971132712,battery,False,768.8703331500001
43780 battery,6.0,27.5,43780,0.9797958971132712,0.0,422.3056838,PV,0.0,0.9797958971132712,battery,False,422.3056838
43781 battery,6.0,27.5,43781,0.9797958971132712,0.0,10432.467792820002,PV,0.0,0.9797958971132712,battery,False,10432.467792820002
43781 pumped_hydro,6.0,27.5,43781,0.8660254037844386,0.0,1800.0,PV,0.0,0.8660254037844386,pumped_hydro,False,1800.0
