name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,geom,topo,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime
59,eGon2035,0,49123,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003113942989745954,,0.0,31.0
60,eGon2035,0,49124,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9966776473309616,,0.0,31.0
61,eGon2035,0,49125,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9877400846370841,,0.0,31.0
62,eGon2035,0,49126,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9993731116118442,,0.0,31.0
63,eGon2035,0,49127,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003086167727687974,,0.0,31.0
64,eGon2035,0,49128,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003139933707370971,,0.0,31.0
65,eGon2035,0,49129,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003030502096321588,,0.0,31.0
66,eGon2035,0,49130,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002945289456803682,,0.0,31.0
67,eGon2035,0,49131,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.004220146600008008,,0.0,31.0
68,eGon2035,0,49132,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002632953662847352,,0.0,31.0
69,eGon2035,0,49134,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003121695895277811,,0.0,31.0
70,eGon2035,0,49135,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.00300496823163261,,0.0,31.0
71,eGon2035,0,49136,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002854302214473985,,0.0,31.0
72,eGon2035,0,49141,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029922988960021536,,0.0,31.0
73,eGon2035,0,49337,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031133971657488213,,0.0,31.0
74,eGon2035,0,49343,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029417005997338826,,0.0,31.0
75,eGon2035,0,49355,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003046549013143611,,0.0,31.0
76,eGon2035,0,49356,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002819809266196586,,0.0,31.0
77,eGon2035,0,49359,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,37.549327478437625,,0.0,31.0
78,eGon2035,0,49362,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0030811536649180786,,0.0,31.0
79,eGon2035,0,49363,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002466920511153132,,0.0,31.0
80,eGon2035,0,49369,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002919866961554804,,0.0,31.0
81,eGon2035,0,49372,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0021617905616266404,,0.0,31.0
82,eGon2035,0,49376,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0024781877680956303,,0.0,31.0
83,eGon2035,0,49379,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,16.390570703478772,,0.0,31.0
84,eGon2035,0,49380,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9997789037252973,,0.0,31.0
85,eGon2035,0,49383,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003112777979045498,,0.0,31.0
86,eGon2035,0,49384,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0028170022060403296,,0.0,31.0
87,eGon2035,0,49389,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9997964174631068,,0.0,31.0
88,eGon2035,0,49390,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003104735193195804,,0.0,31.0
89,eGon2035,0,49391,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9997226642773028,,0.0,31.0
90,eGon2035,0,49396,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029915689089635347,,0.0,31.0
91,eGon2035,0,49404,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,5.186245583831115,,0.0,31.0
92,eGon2035,0,49407,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0030913316149700013,,0.0,31.0
93,eGon2035,0,49408,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0026474200830954196,,0.0,31.0
94,eGon2035,0,49414,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.999492311993894,,0.0,31.0
95,eGon2035,0,49416,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,34.762502422032014,,0.0,31.0
96,eGon2035,0,49420,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0026854456042720003,,0.0,31.0
97,eGon2035,0,49423,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,12.483477367096798,,0.0,31.0
98,eGon2035,0,49424,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002468425941746181,,0.0,31.0
99,eGon2035,0,49429,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0028740422267422372,,0.0,31.0
100,eGon2035,0,49434,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.03842499871144506,,0.0,31.0
101,eGon2035,0,49482,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.004241861791148414,,0.0,31.0
102,eGon2035,0,49485,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0030591181608470523,,0.0,31.0
103,eGon2035,0,51439,central_resistive_heater,0.4686537880197176,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.4686537880197176,,0.0,
104,eGon2035,0,52041,rural_heat_pump,5933.513052252016,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,5933.513052252016,,0.0,
105,eGon2035,0,69925,BEV_charger,10889.93928962946,False,inf,0.0,0.0,,,,0.9,0.0,0.0,0.0,10889.93928962946,,0.0,
106,eGon2035,0,77536,central_heat_pump,228.27308594446063,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,228.27308594446063,,0.0,
107,eGon2035,0,77536,central_resistive_heater,258.8896206730313,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,258.8896206730313,,0.0,
108,eGon2035,1,41544,dsm,211.99208757978138,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,211.99208757978138,,0.0,
109,eGon2035,1,48717,power_to_H2,0.0,True,inf,27.453818651332433,0.0,,,,0.7,0.0,0.0,0.0,6.536936281702534e-07,,0.0,31.0
110,eGon2035,1,48957,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8103310974638525,,0.0,31.0
111,eGon2035,1,48958,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8025318495557383,,0.0,31.0
112,eGon2035,1,48959,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.811448534466165,,0.0,31.0
113,eGon2035,1,48962,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9994060480754479,,0.0,31.0
114,eGon2035,1,48963,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.999660017664242,,0.0,31.0
115,eGon2035,1,48964,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9998297700628376,,0.0,31.0
116,eGon2035,1,48965,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8126987153938916,,0.0,31.0
117,eGon2035,1,48966,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9998083899314693,,0.0,31.0
118,eGon2035,1,49155,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9996099957268212,,0.0,31.0
119,eGon2035,1,49156,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8034842340609997,,0.0,31.0
120,eGon2035,1,49167,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.804779130250624,,0.0,31.0
121,eGon2035,1,49168,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8013430360009308,,0.0,31.0
