name,p_set,carrier,bus
48945 H2_hgv_load,0.0,H2_hgv_load,48945
48948 H2_for_industry,0.0,H2_for_industry,48948
48948 H2_hgv_load,0.0,H2_hgv_load,48948
48949 H2_for_industry,0.0,H2_for_industry,48949
48949 H2_hgv_load,0.0,H2_hgv_load,48949
48950 H2_for_industry,0.0,H2_for_industry,48950
48950 H2_hgv_load,0.0,H2_hgv_load,48950
48951 H2_for_industry,0.0,H2_for_industry,48951
48951 H2_hgv_load,0.0,H2_hgv_load,48951
48952 H2_for_industry,0.0,H2_for_industry,48952
48952 H2_hgv_load,0.0,H2_hgv_load,48952
48960 H2_for_industry,0.0,H2_for_industry,48960
48960 H2_hgv_load,0.0,H2_hgv_load,48960
48962 H2_for_industry,0.0,H2_for_industry,48962
48962 H2_hgv_load,0.0,H2_hgv_load,48962
48963 H2_for_industry,0.0,H2_for_industry,48963
48963 H2_hgv_load,0.0,H2_hgv_load,48963
48964 H2_for_industry,0.0,H2_for_industry,48964
48964 H2_hgv_load,0.0,H2_hgv_load,48964
48966 H2_for_industry,0.0,H2_for_industry,48966
48966 H2_hgv_load,0.0,H2_hgv_load,48966
48967 H2_for_industry,0.0,H2_for_industry,48967
48967 H2_hgv_load,0.0,H2_hgv_load,48967
48968 H2_for_industry,0.0,H2_for_industry,48968
48968 H2_hgv_load,0.0,H2_hgv_load,48968
48969 H2_for_industry,0.0,H2_for_industry,48969
48969 H2_hgv_load,0.0,H2_hgv_load,48969
48970 H2_for_industry,0.0,H2_for_industry,48970
48970 H2_hgv_load,0.0,H2_hgv_load,48970
48971 H2_for_industry,0.0,H2_for_industry,48971
48971 H2_hgv_load,0.0,H2_hgv_load,48971
48972 H2_for_industry,0.0,H2_for_industry,48972
48972 H2_hgv_load,0.0,H2_hgv_load,48972
48976 H2_for_industry,0.0,H2_for_industry,48976
48976 H2_hgv_load,0.0,H2_hgv_load,48976
48979 H2_for_industry,0.0,H2_for_industry,48979
