name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
60,eGon2035_lowflex,1,6,DC,0.0,0.0,1124.2231601984165,698.6620601888327,1.0,0.0,-1.0,1.0,0.010608893260563735,0.0,BEGB,inf,False,,,0.0,,,1.0,1.0
62,eGon2035_lowflex,4,6,DC,0.0,0.0,3002.386658453627,980.7475181086178,1.0,0.0,-1.0,1.0,0.010383478690140533,0.0,DKGB,inf,False,,,0.0,,,1.0,1.0
63,eGon2035_lowflex,4,7,DC,0.0,0.0,1251.4153176493392,517.121012349445,1.0,0.0,-1.0,1.0,0.010988884892469955,0.0,DKNL,inf,False,,,0.0,,,1.0,1.0
64,eGon2035_lowflex,4,8,DC,940.3373705996044,3760.0,1182.176903792305,597.9571155009771,1.0,940.0,-1.0,1.0,0.009122941939948524,940.3373705996044,DKNO,inf,False,,,0.0,,,1.0,1.0
65,eGon2035_lowflex,4,10,DC,850.3132116791422,3400.0,935.6214102095232,693.9156446945748,1.0,850.0,-1.0,1.0,0.010534828551279539,850.3132116791422,DKSE,inf,False,,,0.0,,,1.0,1.0
66,eGon2035_lowflex,5,6,DC,7999.996880940305,8000.0,1296.5642241811213,944.9760291193949,1.0,2000.0,-1.0,1.0,0.010065272946990302,7999.996880940305,FRGB,inf,False,,,0.0,,,1.0,1.0
68,eGon2035_lowflex,6,7,DC,3999.9927311137676,4000.0,1448.4357468895505,662.7704706997799,1.0,1000.0,-1.0,1.0,0.01051664063156824,3999.9927311137676,GBNL,inf,False,,,0.0,,,1.0,1.0
69,eGon2035_lowflex,6,8,DC,0.0,0.0,2262.219965611912,1081.679536362336,1.0,0.0,-1.0,1.0,0.009320031688580132,0.0,GBNO,inf,False,,,0.0,,,1.0,1.0
70,eGon2035_lowflex,7,8,DC,700.3290541133237,2800.0,2202.894345654306,974.5374824832013,1.0,700.0,-1.0,1.0,0.00917766700484962,700.3290541133237,NLNO,inf,False,,,0.0,,,1.0,1.0
71,eGon2035_lowflex,9,10,DC,600.4437237892532,2400.0,1523.503082414779,1099.7655712561213,1.0,600.0,-1.0,1.0,0.01026030450633768,600.4437237892532,PLSE,inf,False,,,0.0,,,1.0,1.0
72,eGon2035_lowflex,48639,0,OCGT,5998.4523758690475,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,5998.4523758690475,ATAT,inf,True,,,9.6,0.0,1.0,0.2,0.2
73,eGon2035_lowflex,48639,48641,CH4,27125.0,inf,0.0,415.62221327154276,1.0,0.0,-1.0,1.0,0.0,27125.0,ATCH,inf,False,,,0.0,,,1.0,1.0
