,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
12,43908672.08298537,1280625.51047295,8766238.267422214,1450146.9137884101,46496902.006044224,19074367.521857884,42530888.10085567,17019623.803287983,1868286.30465227,69054586.13516465,205037.430161007
13,43950465.91756506,1085295.75119041,8876689.498759383,1409284.6148872701,46604316.96983793,19072136.813514333,42661797.29340097,17032164.669134215,1898339.27665139,68496935.7532345,207592.57569895446
14,43992017.858676344,889488.23601767,8986825.545377454,1368337.2047283403,46643537.99058933,19069815.50705958,42791937.757635176,17043960.255914744,1928341.9087457398,67929645.19823883,210071.79164663193
15,44032894.40723174,733013.44173047,9096081.562392624,1327152.1547923102,46745161.76076373,19025935.289741613,42919931.84982338,17053674.943462074,1958203.9864168398,67362420.4603193,212601.56283196938
16,44073033.67966224,575082.4774459001,9204376.916146293,1285707.6910791202,46775464.03901533,18979858.067710005,43045582.90631938,17061118.067146905,1987912.6312145498,66791139.529182434,215127.52585070685
17,44112535.515623264,415892.53320696007,9311841.696690064,1244038.9426011702,46868408.69864673,18931425.423235275,43169208.21377918,17066597.235130835,2017488.6205446497,66221360.53953063,217573.5558369343
18,44151672.155374035,341397.96852587006,9418830.630301334,1202241.6982651502,46806964.28903473,18922170.618765693,43250506.27480258,17070951.225605365,2046988.6097141597,65663337.25617458,220041.81619745176
19,44191034.49596903,347940.84487826005,9526113.649807705,1160523.8677423801,46746944.81914073,18776030.861142233,43373688.27125508,17076000.605316095,2076535.5689778898,65102305.33079519,222544.6826364592
20,44231904.95583945,150787.35836171,9635361.733328575,1173586.6754763601,46809839.34500171,18807878.20361931,43501663.01383238,17085696.533492025,2052146.3795464798,64549751.04411908,225020.51476384667
21,44275661.12059849,0.0,9748369.860849446,1187664.8308930302,46929643.28422061,18803876.17135995,43597641.75094158,17104283.381530255,2028357.7276584099,63997634.536568716,227469.59529383414
22,44322789.116478905,0.0,9865771.449887216,1202929.3795992702,47047865.51067034,18632794.3195242,43745502.70673208,17133258.914983884,2005270.7799488099,63446990.70974604,229997.6677777216
23,44371641.64756942,0.0,9985420.090692187,1218800.7134401202,47036402.206767954,18543325.208238184,43886154.92165291,17167547.779129513,1982542.7213766798,62945877.69026478,232493.56748845906
24,44420064.21136333,0.0,10104690.865824556,1233623.0412129103,47184603.53664675,18400096.323396903,43972411.45604663,17198656.772789642,1959734.3748629899,62437736.161968425,234962.7183433365
25,44468583.68199576,0.0,10224085.774654325,1248489.9748586903,47198845.793698154,18376676.641641755,44080577.65706983,17230086.05486017,1936946.08781573,61930850.54543828,237470.60138554397
26,44516370.78560099,62498.559819539994,10342542.551270494,1263019.8025674503,47208370.24323606,18251422.826224186,44227319.005626135,17259094.7784377,1914006.20267672,61423590.32694483,239900.09710941144
27,44561056.02695929,0.0,10457025.969191164,1276121.8541196703,47180412.81728376,18259060.907329865,44319060.04646804,17277851.48529793,1890424.24002731,60904662.87354825,242318.0997964289
28,44599685.016197346,99925.84368432,10563751.575800834,1286436.2343677003,47198858.516022354,18133947.370518874,44249908.944720745,17276591.57212846,1865588.6487593001,60381085.315346435,244787.66321482637
29,44636796.435391374,0.0,10668533.237241304,1296052.0825236302,47274195.01037575,17998623.783975534,44358873.824119344,17270315.91286109,1840438.92439376,59845236.66276076,247118.65898856384
30,44675031.550465114,41613.16857691001,10774754.307153074,1306185.1638951702,47189755.42890116,17853042.698226135,44471814.960318945,17267754.19961312,1815521.8021863801,59252327.47508907,249442.6289186213
31,44714027.470324345,0.0,10881949.936883844,1316668.4410027002,47210564.84416076,17662391.502271514,44587448.244151145,17267707.034968052,1790762.1646136101,58669182.72928862,251792.94565723877
32,44753810.364547096,0.0,10990153.648592915,1327513.9596098503,47236443.83987236,17516145.744566843,44624759.998341426,17270260.91243508,1766165.4287108001,58094430.27224634,253428.98945915778
33,44794387.9575261,0.0,11099375.336911485,1338725.2752271504,47334108.94832076,17372524.164473917,44666573.81775915,17275441.36203391,1741733.19340741,57513757.67158239,255767.70349219523
