name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
39,eGon2035_lowflex,15,52103,central_heat_pump,41.02868733750352,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,41.02868733750352,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
40,eGon2035_lowflex,15,52103,central_resistive_heater,26.22957365149466,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,26.22957365149466,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
41,eGon2035_lowflex,15,52107,central_heat_pump,21.689546427093443,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,21.689546427093443,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
42,eGon2035_lowflex,15,52107,central_resistive_heater,27.727493703228593,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,27.727493703228593,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
43,eGon2035_lowflex,2,52040,rural_heat_pump,1209.5511992873674,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1209.5511992873674,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
44,eGon2035_lowflex,2,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,20.07400277183673,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
45,eGon2035_lowflex,2,52109,central_heat_pump,22.912716391801272,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,22.912716391801272,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
46,eGon2035_lowflex,2,52109,central_resistive_heater,15.405416833173764,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,15.405416833173764,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
47,eGon2035_lowflex,3,43780,DC,600.0,True,2400.0,1555.0471806514497,205.22985665913401,,1.0,600.0,-1.0,0.0,600.8934615131913,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
48,eGon2035_lowflex,3,52053,rural_heat_pump,535.8536509801519,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,535.8536509801519,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
49,eGon2035_lowflex,3,52101,power_to_H2,0.0,True,27.0,461.2241533423849,0.0,,0.7,0.0,0.0,0.0,26.695365364721354,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
50,eGon2035_lowflex,3,52120,central_heat_pump,37.15757087730321,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,37.15757087730321,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
51,eGon2035_lowflex,3,52120,central_resistive_heater,32.42399252108582,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,32.42399252108582,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
52,eGon2035_lowflex,4,52052,rural_heat_pump,3063.33788523027,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3063.33788523027,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
53,eGon2035_lowflex,4,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,20.165902596213066,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
