name,p_nom_max,weight,p_nom,efficiency,p_nom_opt,marginal_cost,e_nom_max,p_max_pu,up_time_before,carrier,bus,control
11 central_biomass_CHP,inf,25.473116827271607,25.473116827271607,1.0,25.473116827271607,42.1071764422027,inf,1.0,0,central_biomass_CHP,11,PV
11 central_gas_CHP,inf,1295.2230658453375,1295.2230658453375,0.43,1295.2230658453375,4.118294356609574,0.0,1.0,1,central_gas_CHP,11,PQ
11 industrial_biomass_CHP,inf,140.71503603051963,140.71503603051963,1.0,140.71503603051963,42.10816451281886,inf,1.0,0,industrial_biomass_CHP,11,PV
11 industrial_gas_CHP,inf,307.46128174280676,307.46128174280676,0.43000000000000005,307.46128174280676,4.15,0.0,1.0,1,industrial_gas_CHP,11,PQ
11 load shedding,inf,38829458.83070853,38829458.83070853,1.0,38829458.83070853,10000.008122276966,0.0,1.0,1,load shedding,11,PQ
11 others,inf,2.44886863392447,2.44886863392447,1.0,2.44886863392447,0.01679701880622701,inf,1.0,0,others,11,PV
11 run_of_river,inf,676.9627162071628,676.9627162071628,1.0,676.9627162071628,0.008450944708236274,inf,0.65,0,run_of_river,11,PV
11 solar,inf,822.7888556133818,822.7888556133818,1.0,822.7888556133818,0.017020909384288962,inf,1.0,0,solar,11,PV
11 solar_rooftop,inf,3346.423316241504,3346.423316241504,1.0,3346.423316241504,0.017872956154063827,inf,1.0,0,solar_rooftop,11,PV
11 wind_onshore,inf,1131.8691650913574,1131.8691650913574,1.0,1131.8691650913574,1.3079337619769416,inf,1.0,0,wind_onshore,11,PV
11689 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.007719193736,0.0,1.0,1,load shedding,11689,PQ
11690 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.006670824392,0.0,1.0,1,load shedding,11690,PQ
11853 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002492506503,0.0,1.0,1,load shedding,11853,PQ
11854 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.006859975036,0.0,1.0,1,load shedding,11854,PQ
11855 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002171544187,0.0,1.0,1,load shedding,11855,PQ
11856 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.017081678743,0.0,1.0,1,load shedding,11856,PQ
12 biomass,inf,20.240494617273043,20.240494617273043,1.0,20.240494617273043,42.108257668056254,inf,1.0,0,biomass,12,PV
12 central_biomass_CHP,inf,5.652276104346127,5.652276104346127,1.0,5.652276104346127,42.10572429216301,inf,1.0,0,central_biomass_CHP,12,PV
12 central_gas_CHP,inf,100.32565379961258,100.32565379961258,0.43,100.32565379961258,4.145781250000001,0.0,1.0,1,central_gas_CHP,12,PQ
12 industrial_biomass_CHP,inf,314.9816801625633,314.9816801625633,1.0,314.9816801625633,42.10750002680723,inf,1.0,0,industrial_biomass_CHP,12,PV
12 industrial_gas_CHP,inf,2055.736486922065,2055.736486922065,0.42999999999999994,2055.736486922065,4.15,0.0,1.0,1,industrial_gas_CHP,12,PQ
12 load shedding,inf,21952602.541544367,21952602.541544367,1.0,21952602.541544367,10000.008306521642,0.0,1.0,1,load shedding,12,PQ
12 run_of_river,inf,0.2659558719085358,0.2659558719085358,1.0,0.2659558719085358,0.009015768095636001,inf,0.65,0,run_of_river,12,PV
12 solar,inf,145.74037652834758,145.74037652834758,1.0,145.74037652834758,0.0174041900714532,inf,1.0,0,solar,12,PV
12 solar_rooftop,inf,1132.047530094483,1132.047530094483,1.0,1132.047530094483,0.01925913378212231,inf,1.0,0,solar_rooftop,12,PV
12 wind_offshore,inf,8339.0,8339.0,1.0,8339.0,2.5621289963871585,inf,1.0,0,wind_offshore,12,PV
