name,e_nom_extendable,e_cyclic,capital_cost,e_nom,e_nom_max,e_initial,carrier,bus,lifetime,e_nom_opt
43330 dsm,False,False,0.0,4.347248450953988,inf,0.0,dsm,43330,inf,4.347248450953988
43500 dsm,False,False,0.0,2.6487220128260582,inf,0.0,dsm,43500,inf,2.6487220128260582
43524 dsm,False,False,0.0,1.3287824508369666,inf,0.0,dsm,43524,inf,1.3287824508369666
43542 dsm,False,False,0.0,639.520071047605,inf,0.0,dsm,43542,inf,639.520071047605
43544 dsm,False,False,0.0,1043.4158746784108,inf,0.0,dsm,43544,inf,1043.4158746784108
43546 dsm,False,False,0.0,470.9401528274196,inf,0.0,dsm,43546,inf,470.9401528274196
43658 dsm,False,False,0.0,0.3538120365121988,inf,0.0,dsm,43658,inf,0.3538120365121988
43660 dsm,False,False,0.0,13.025278459806012,inf,0.0,dsm,43660,inf,13.025278459806012
43742 dsm,False,False,0.0,153.45714911926228,inf,0.0,dsm,43742,inf,153.45714911926228
43744 dsm,False,False,0.0,1404.7131868750666,inf,0.0,dsm,43744,inf,1404.7131868750666
43746 dsm,False,False,0.0,0.00624298589753563,inf,0.0,dsm,43746,inf,0.00624298589753563
43752 dsm,False,False,0.0,0.06138279652751395,inf,0.0,dsm,43752,inf,0.06138279652751395
43774 dsm,False,False,0.0,0.3853316041616998,inf,0.0,dsm,43774,inf,0.3853316041616998
47539 CH4,False,True,0.0,207.0063694267516,inf,0.0,CH4,47539,inf,207.0063694267516
47540 CH4,False,True,0.0,207.0063694267516,inf,0.0,CH4,47540,inf,207.0063694267516
47541 CH4,False,True,0.0,266984.75477209233,inf,0.0,CH4,47541,inf,266984.75477209233
47542 CH4,False,True,0.0,207.0063694267516,inf,0.0,CH4,47542,inf,207.0063694267516
47548 CH4,False,True,0.0,207.0063694267516,inf,0.0,CH4,47548,inf,207.0063694267516
47549 CH4,False,True,0.0,207.0063694267516,inf,0.0,CH4,47549,inf,207.0063694267516
47550 CH4,False,True,0.0,207.0063694267516,inf,0.0,CH4,47550,inf,207.0063694267516
