name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,x_pu_eff,r_pu_eff,s_nom_opt,country,v_nom
18,11,43777,AC,2.651038182730936,0.3280940520483682,3.563524215071457e-05,24110.000024609486,True,24110.0,85701.48628821915,0.9999999999999999,40.0,0.2784558407520053,136.22980836200006,19.0,1.8358990185117286e-05,2.2721194740191704e-06,24110.000024609486,CH,380.0
19,11,43781,AC,32.389232610466095,3.821719101483845,6.779177479434478e-06,5890.000011832319,True,5890.0,19981.48628821915,1.0,40.0,0.6403086201394579,420.75907582113587,4.0,0.00022430216489242448,2.646619876373854e-05,5890.000011832319,FR,380.0
20,11,7,AC,12.435607495777452,1.5720290167249773,0.0005112493899331797,8409.180646400222,True,6930.0,18514.93031258827,1.0,40.0,4.717544153428833,180.58343829530534,5.0,8.611916548322335e-05,1.0886627539646656e-05,8409.180646400222,DE,380.0
21,11689,11690,AC,10.714355923508581,3.0978541373116464,5.95586271260851e-07,260.00032189448063,True,260.0,1554.6888048738242,1.0,40.0,0.03649479915733444,2.3771212891662152,1.0,7.419914074451926e-05,2.1453283499388132e-05,260.00032189448063,DE,380.0
22,11689,31736,AC,0.34481702122194907,0.06475748544882173,2.0176403849650644e-06,280.0029532235367,True,280.0,1554.6888048738242,1.0,40.0,0.005104919814946524,0.33251350471282254,1.0,2.387929509847293e-06,4.484590405043056e-07,280.0029532235367,DE,380.0
23,11690,32862,AC,4.179363996540643,0.7848972961425659,2.4454894045756105e-05,280.0002465836735,True,280.0,1554.6888048738242,1.0,40.0,0.05711101526421964,3.719976910824819,1.0,2.8942963964962904e-05,5.435576843092561e-06,280.0002465836735,DE,380.0
24,11853,11854,AC,11.330892290880671,3.2761189034370606,2.5194280363770673e-06,520.0001411169692,True,520.0,1554.6888048738242,1.0,40.0,0.07716715892627032,5.026351714316653,2.0,7.846878317784398e-05,2.2687804040422856e-05,520.0001411169692,DE,380.0
25,11853,31847,AC,26.542660279016705,7.674319155772881,1.0270890569921278e-05,685.9434483303017,True,520.0,1554.6888048738242,1.0,40.0,0.2401873161895171,15.644815038995832,2.0,0.00018381343683529573,5.3146254541363446e-05,685.9434483303017,DE,380.0
26,11853,32745,AC,2.4225142568949978,0.7004254455636426,4.968550613347876e-08,520.0029826814462,True,520.0,1554.6888048738242,1.0,40.0,0.008581056804250255,1.117869575058528,2.0,1.6776414521433502e-05,4.850591728280073e-06,520.0029826814462,DE,380.0
27,11854,11856,AC,10.513720574327715,3.0398387562722378,2.3377326296934826e-06,520.0001347973042,True,520.0,1554.6888048738242,1.0,40.0,0.07159637893122198,4.663493991318901,2.0,7.280969926819748e-05,2.1051514932633224e-05,520.0001347973042,DE,380.0
28,11854,32810,AC,0.08318583542306525,0.024051552304012905,4.624131206284769e-09,260.01775761142267,True,260.0,1554.6888048738242,1.0,40.0,0.00036135960947046835,0.02353748042327301,1.0,5.760791926805073e-07,1.6656199656518633e-07,260.01775761142267,DE,380.0
29,11855,11856,AC,0.7144594378391236,0.20657244818295376,3.971520396598075e-08,260.0032298348915,True,260.0,1554.6888048738242,1.0,40.0,0.0024305863126356728,0.1583184070698219,1.0,4.947780040437144e-06,1.4305571203805662e-06,260.0032298348915,DE,380.0
30,11855,32601,AC,0.8438012977360364,0.24396926040143402,4.690503184422503e-08,260.00806151663005,True,260.0,1554.6888048738242,1.0,40.0,0.003241465998487797,0.21113577855011162,1.0,5.843499291800806e-06,1.689537814414363e-06,260.00806151663005,DE,380.0
31,11855,32602,AC,9.866379512917263,2.852681849917248,2.1937935469730924e-06,520.0001437156359,True,520.0,1554.6888048738242,1.0,40.0,0.0678780353458366,4.421296365866896,2.0,6.832672792878991e-05,1.9755414473111136e-05,520.0001437156359,DE,380.0
32,11856,32601,AC,0.81406630148732,0.2353717183151045,4.5252125324099625e-08,260.00386544298783,True,260.0,1554.6888048738242,1.0,40.0,0.003263477957446418,0.21256954712714118,1.0,5.637578265147645e-06,1.629998049273577e-06,260.00386544298783,DE,380.0
33,12,2,AC,5.2750117662397,0.6116531409635688,0.0002790699887569085,11780.00000440824,True,11780.0,39997.90288902657,0.9999999999999999,40.0,1.7539005943027457,134.0674608649235,9.0,3.653055239778186e-05,4.235825075924992e-06,11780.00000440824,DE,380.0
34,12,43785,AC,8.31893335645116,0.9267992366531562,9.79247470919707e-07,10741.486288123937,True,3580.0,10741.486288219148,1.0,40.0,0.18139631061123743,131.9524973709489,2.0,5.761034180367839e-05,6.418277262140971e-06,10741.486288123937,NL,380.0
35,12,6,AC,5.312967111984354,0.7671032220791989,0.0004413549851856938,11674.876367273264,True,7220.0,24733.685532083564,1.0,40.0,1.8354234260543962,77.31834547233042,14.0,3.679340105252323e-05,5.312349183373953e-06,11674.876367273264,DE,380.0
36,1204,15,AC,16.852152970902473,5.846982763459369,8.330381054262178e-05,1040.000004630367,True,1040.0,6218.755219495297,1.0,40.0,1.6729573643678863,36.01025170509026,2.0,0.00011670466046331353,4.049157038406765e-05,1040.000004630367,DE,380.0
37,1204,32623,AC,5.320753336142808,1.8460774866659917,1.906647838182248e-07,1040.0000506139647,True,1040.0,6218.755219495297,1.0,40.0,0.17701596042465118,11.430756263986138,2.0,3.6847322272457115e-05,1.278447012926587e-05,1040.0000506139647,DE,380.0
38,1204,32885,AC,3.5973864065205516,1.2481399123706258,7.660470033340698e-08,1040.00015051314,True,1040.0,6218.755219495297,1.0,40.0,0.07173226320092363,7.720151476236355,2.0,2.4912648244602157e-05,8.643628202012645e-06,1040.00015051314,DE,380.0
39,12637,15,AC,206.97304320795064,59.842439087555235,1.1505184818826961e-05,260.0000138492015,True,260.0,1554.6888048738242,1.0,40.0,0.7041147418539805,45.86314164001888,1.0,0.0014333313241547828,0.00041442132332101964,260.0000138492015,DE,380.0
40,12637,34156,AC,0.07160908595592924,0.020704368768461347,3.980617552077332e-09,260.0139124783836,True,260.0,1554.6888048738242,1.0,40.0,0.00035319973486540735,0.023005979713898124,1.0,4.959077974787343e-07,1.4338205518325033e-07,260.0139124783836,DE,380.0
41,12637,34762,AC,33.011849420398654,9.544757194675109,1.835053296566793e-06,260.000135530767,True,260.0,1554.6888048738242,1.0,40.0,0.11243964123779149,7.323856305668947,1.0,0.0002286139156537303,6.60994265559218e-05,260.000135530767,DE,380.0
42,12650,12651,AC,0.4435296264704089,0.08329611815787023,2.5952392183456957e-06,280.00153651580257,True,280.0,1554.6888048738242,1.0,40.0,0.0060424609003254534,0.3935810794078968,1.0,3.0715348093518623e-06,5.768429235309573e-07,280.00153651580257,DE,380.0
43,12650,15,AC,279.2640580965001,80.74405995353013,1.55236353448765e-05,260.00001030621695,True,260.0,1554.6888048738242,1.0,40.0,0.9506345540233487,61.92042945198072,1.0,0.0019339616211668982,0.0005591693902599039,260.00001030621695,DE,380.0
44,12651,32602,AC,12.652697581708606,3.658286654290901,7.033339268612583e-07,260.00031093270593,True,260.0,1554.6888048738242,1.0,40.0,0.04363921619920873,2.8424792645781207,1.0,8.762255943011501e-05,2.5334395112817872e-05,260.00031093270593,DE,380.0
45,12697,31735,AC,15.925355914372195,4.604505680815218,8.852512328044908e-07,260.00023480652743,True,260.0,1554.6888048738242,1.0,40.0,0.05458941068881433,3.5557299480394318,1.0,0.00011028639829897642,3.188715845439902e-05,260.00023480652743,DE,380.0
46,12697,32603,AC,1.1806514463853022,0.2217304293475963,6.9084217379546936e-06,280.00079848531334,True,280.0,1554.6888048738242,1.0,40.0,0.016280889930966626,1.0604702849472918,1.0,8.176256553914836e-06,1.5355292891107777e-06,280.00079848531334,DE,380.0
