name,efficiency_store,p_nom,efficiency_dispatch,p_nom_min,capital_cost,carrier,bus,control,p_nom_extendable,max_hours,lifetime,p_nom_opt
31559 battery,0.9797958971132712,0.0,0.9797958971132712,4.590614917690278,73.93112615104819,battery,31559,PV,True,6.0,27.5,4.590615030262219
31560 battery,0.9797958971132712,0.0,0.9797958971132712,1.4385306265232498,73.93112615104819,battery,31560,PV,True,6.0,27.5,1.4385307324093164
31561 battery,0.9797958971132712,0.0,0.9797958971132712,0.41368017819746644,73.93112615104819,battery,31561,PV,True,6.0,27.5,0.4136802925543161
31562 battery,0.9797958971132712,0.0,0.9797958971132712,7.264725271917776,73.93112615104819,battery,31562,PV,True,6.0,27.5,7.264725376303428
31621 battery,0.9797958971132712,0.0,0.9797958971132712,0.1863446276201617,73.93112615104819,battery,31621,PV,True,6.0,27.5,0.1863447416673348
31660 battery,0.9797958971132712,0.0,0.9797958971132712,0.1430890902109476,73.93112615104819,battery,31660,PV,True,6.0,27.5,0.14308922435626129
31661 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,31661,PV,True,6.0,27.5,5.881082861225294e-07
31736 battery,0.9797958971132712,0.0,0.9797958971132712,0.8380470909819078,73.93112615104819,battery,31736,PV,True,6.0,27.5,0.8380472049993172
31778 battery,0.9797958971132712,0.0,0.9797958971132712,8.36839010363688,73.93112615104819,battery,31778,PV,True,6.0,27.5,8.368390202924322
31779 battery,0.9797958971132712,0.0,0.9797958971132712,2.328297545241332,73.93112615104819,battery,31779,PV,True,6.0,27.5,2.328297645786745
31782 battery,0.9797958971132712,0.0,0.9797958971132712,7.85759748062589,73.93112615104819,battery,31782,PV,True,6.0,27.5,7.857597582389121
31784 battery,0.9797958971132712,0.0,0.9797958971132712,11.650017303459247,73.93112615104819,battery,31784,PV,True,6.0,27.5,11.650017401350555
31837 battery,0.9797958971132712,0.0,0.9797958971132712,7.255486456178155,73.93112615104819,battery,31837,PV,True,6.0,27.5,7.255486558288033
31853 battery,0.9797958971132712,0.0,0.9797958971132712,1.75058138152655,73.93112615104819,battery,31853,PV,True,6.0,27.5,1.7505814801793045
31868 battery,0.9797958971132712,0.0,0.9797958971132712,0.8369773717949973,73.93112615104819,battery,31868,PV,True,6.0,27.5,0.8369774858286894
31874 battery,0.9797958971132712,0.0,0.9797958971132712,2.1650466833783875,73.93112615104819,battery,31874,PV,True,6.0,27.5,2.165046782232088
31879 battery,0.9797958971132712,0.0,0.9797958971132712,4.93726722082319,73.93112615104819,battery,31879,PV,True,6.0,27.5,4.937267333032286
31913 battery,0.9797958971132712,0.0,0.9797958971132712,1.3235610550618224,73.93112615104819,battery,31913,PV,True,6.0,27.5,1.323561164219723
31927 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,31927,PV,True,6.0,27.5,5.886243365287281e-07
31943 battery,0.9797958971132712,0.0,0.9797958971132712,1.8538812512013918,73.93112615104819,battery,31943,PV,True,6.0,27.5,1.8538813496226898
31980 battery,0.9797958971132712,0.0,0.9797958971132712,1.6588306737986536,73.93112615104819,battery,31980,PV,True,6.0,27.5,1.6588307748809048
32145 battery,0.9797958971132712,0.0,0.9797958971132712,8.060750207534015,73.93112615104819,battery,32145,PV,True,6.0,27.5,8.060750308652986
32175 battery,0.9797958971132712,0.0,0.9797958971132712,7.078915594372424,73.93112615104819,battery,32175,PV,True,6.0,27.5,7.078915699079981
32176 battery,0.9797958971132712,0.0,0.9797958971132712,1.7672597898060711,73.93112615104819,battery,32176,PV,True,6.0,27.5,1.7672598878900296
32288 battery,0.9797958971132712,0.0,0.9797958971132712,13.066035382822369,73.93112615104819,battery,32288,PV,True,6.0,27.5,13.066035479060826
32330 battery,0.9797958971132712,0.0,0.9797958971132712,2.6213452797039545,73.93112615104819,battery,32330,PV,True,6.0,27.5,2.621345383439409
32499 battery,0.9797958971132712,0.0,0.9797958971132712,5.793854837323134,73.93112615104819,battery,32499,PV,True,6.0,27.5,5.793854946431327
32534 battery,0.9797958971132712,0.0,0.9797958971132712,6.500292680099525,73.93112615104819,battery,32534,PV,True,6.0,27.5,6.500292786413232
32602 battery,0.9797958971132712,0.0,0.9797958971132712,0.7438569421664445,73.93112615104819,battery,32602,PV,True,6.0,27.5,0.7438570540136531
32603 battery,0.9797958971132712,0.0,0.9797958971132712,1.517980684783799,73.93112615104819,battery,32603,PV,True,6.0,27.5,1.5179807865662738
32604 battery,0.9797958971132712,0.0,0.9797958971132712,2.7261702653595536,73.93112615104819,battery,32604,PV,True,6.0,27.5,2.726170370012713
32619 battery,0.9797958971132712,0.0,0.9797958971132712,0.7962544881790785,73.93112615104819,battery,32619,PV,True,6.0,27.5,0.7962546011574967
32622 battery,0.9797958971132712,0.0,0.9797958971132712,1.887436562088408,73.93112615104819,battery,32622,PV,True,6.0,27.5,1.8874366608570388
32623 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,32623,PV,True,6.0,27.5,5.876598001561355e-07
32626 battery,0.9797958971132712,0.0,0.9797958971132712,2.3384656964522783,73.93112615104819,battery,32626,PV,True,6.0,27.5,2.3384657977662258
32627 battery,0.9797958971132712,0.0,0.9797958971132712,1.1400386621083805,73.93112615104819,battery,32627,PV,True,6.0,27.5,1.1400387765697102
32642 battery,0.9797958971132712,0.0,0.9797958971132712,1.366548885292786,73.93112615104819,battery,32642,PV,True,6.0,27.5,1.3665489930378045
32658 battery,0.9797958971132712,0.0,0.9797958971132712,2.2253480674948185,73.93112615104819,battery,32658,PV,True,6.0,27.5,2.2253481671805315
32673 battery,0.9797958971132712,0.0,0.9797958971132712,7.123584053787194,73.93112615104819,battery,32673,PV,True,6.0,27.5,7.12358415744649
32692 battery,0.9797958971132712,0.0,0.9797958971132712,2.1975421217773596,73.93112615104819,battery,32692,PV,True,6.0,27.5,2.1975422211732676
32696 battery,0.9797958971132712,0.0,0.9797958971132712,1.0985972724155308,73.93112615104819,battery,32696,PV,True,6.0,27.5,1.0985974920048482
32699 battery,0.9797958971132712,0.0,0.9797958971132712,0.548916977989789,73.93112615104819,battery,32699,PV,True,6.0,27.5,0.5489172880488127
32700 battery,0.9797958971132712,0.0,0.9797958971132712,6.362161884787778,73.93112615104819,battery,32700,PV,True,6.0,27.5,6.362161991399392
