line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
7728,True,26.0,6.76323767064,26.01,26.0,26.01,0.0
7729,True,26.0,23.9201172327,92.0,26.0,92.0,0.0
7734,True,26.0,30.3649778933,116.79,26.0,100.0,0.0
7735,True,26.0,27.1389350273,104.38,26.0,87.55,0.0
7739,True,26.0,3.42222895475,13.16,26.0,13.16,0.0
7740,True,26.0,3.20029802924,12.31,26.0,12.31,0.0
7741,True,26.0,3.37624128725,12.99,26.0,12.99,0.0
7748,True,26.0,34.8039982957,133.86,34.8039982957,100.0,8.8039982957
7750,True,26.0,34.5444173063,132.86,34.5444173063,100.0,8.5444173063
7751,True,26.0,31.2,120.0,26.0,100.0,0.0
7752,True,26.0,29.982350934,115.32,26.0,100.0,0.0
7753,True,26.0,25.4442907433,97.86,26.0,97.86,0.0
7754,True,26.0,25.4713118697,97.97,26.0,97.97,0.0
7755,True,26.0,31.2,120.0,26.0,100.0,0.0
7756,True,26.0,9.43579401183,36.29,26.0,36.29,0.0
7778,True,26.0,25.4609770878,97.93,26.0,97.93,0.0
7779,True,26.0,24.3774863495,93.76,26.0,93.76,0.0
7780,False,26.0,11.8963643537,45.76,26.0,45.11,0.0
7791,True,26.0,25.4983329952,98.07,26.0,98.07,0.0
7820,True,26.0,25.4787552814,98.0,26.0,77.31,0.0
7821,True,26.0,26.8950436116,103.44,26.0,78.14,0.0
7823,True,26.0,16.8259691554,64.72,26.0,64.72,0.0
7824,True,26.0,12.8426013258,49.39,26.0,49.39,0.0
7825,True,26.0,12.5961752603,48.45,26.0,48.45,0.0
7826,True,26.0,16.0233048316,61.63,26.0,61.63,0.0
7853,True,26.0,19.7772644549,76.07,26.0,76.07,0.0
7872,False,26.0,12.3387497973,47.46,26.0,47.46,0.0
7875,True,26.0,19.8678305306,76.41,26.0,76.41,0.0
7881,True,26.0,32.9298705002,126.65,32.9298705002,100.0,6.9298705002
7882,True,26.0,38.0555718127,146.37,38.0555718127,100.0,12.0555718127
7883,True,26.0,38.0417579545,146.31,38.0417579545,100.0,12.0417579545
8044,True,26.0,28.2630757268,108.7,26.0,78.13,0.0
7886,True,26.0,25.2554353445,97.14,26.0,97.14,0.0
7909,True,358.0,85.4472808448,23.87,358.0,23.87,0.0
7925,True,26.0,26.956039164,103.68,26.0,93.29,0.0
7910,False,358.0,83.7384753541,23.39,358.0,23.39,0.0
7916,True,26.0,28.5680595642,109.88,26.0,93.53,0.0
7917,False,26.0,20.3652384935,78.33,26.0,78.33,0.0
