line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
7656,True,26.0,48.5115968877,186.58,48.5115968877,100.0,22.5115968877
7670,True,26.0,11.4832175452,44.17,26.0,44.17,0.0
7687,True,26.0,16.0948085788,61.9,26.0,61.9,0.0
7698,True,28.0,0.0,0.0,28.0,0.0,0.0
7699,True,26.0,0.0,0.0,26.0,0.0,0.0
7725,True,26.0,29.0787872218,111.84,29.0787872218,100.0,3.0787872218
7726,True,26.0,5.09413954004,19.59,26.0,19.59,0.0
7727,True,26.0,28.6342829586,110.13,28.6342829586,100.0,2.6342829586
7728,True,26.0,5.53377045544,21.28,26.0,21.28,0.0
7729,True,26.0,28.8768713894,111.06,28.8768713894,100.0,2.8768713894
7734,True,26.0,26.0,100.0,26.0,100.0,0.0
7735,True,26.0,38.3574642851,147.53,38.3574642851,100.0,12.3574642851
7739,True,26.0,8.42791285287,32.42,26.0,32.42,0.0
7740,True,26.0,7.88136423668,30.31,26.0,30.31,0.0
7741,True,26.0,8.31465916379,31.98,26.0,31.98,0.0
7748,True,26.0,12.3955595456,47.68,26.0,47.68,0.0
7750,True,26.0,47.8162735409,183.91,47.8162735071,100.0,21.8162735071
7751,True,26.0,28.560611327,109.85,28.560611327,100.0,2.560611327
7752,True,26.0,26.0,100.0,26.0,100.0,0.0
7753,True,26.0,14.4569754637,55.6,26.0,55.6,0.0
7754,True,26.0,14.4723283683,55.66,26.0,55.66,0.0
7755,True,26.0,29.4578958784,113.3,29.4578958784,100.0,3.4578958784
7756,True,26.0,9.43579401183,36.29,26.0,36.29,0.0
7778,True,26.0,18.7856916075,72.25,26.0,72.25,0.0
7779,True,26.0,19.84794311,76.34,26.0,76.34,0.0
7780,True,26.0,2.57826999179,9.92,26.0,9.92,0.0
7791,True,26.0,14.4876812729,55.72,26.0,55.72,0.0
7820,True,26.0,31.1564840886,119.83,31.1564840886,100.0,5.1564840886
7821,True,26.0,32.8661712908,126.41,32.8661712908,100.0,6.8661712908
7823,True,26.0,19.6317655867,75.51,26.0,75.51,0.0
7824,True,26.0,19.5276533453,75.11,26.0,75.11,0.0
7825,True,26.0,19.1529533403,73.67,26.0,73.67,0.0
7826,True,26.0,18.6952538349,71.9,26.0,71.9,0.0
7853,True,26.0,21.2532389344,81.74,26.0,81.74,0.0
7872,True,26.0,16.0993240222,61.92,26.0,61.92,0.0
7875,True,26.0,21.3505639436,82.12,26.0,82.12,0.0
7881,True,26.0,42.4544888241,163.29,42.4544888241,100.0,16.4544888241
7882,True,26.0,48.3270423602,185.87,48.3270423602,100.0,22.3270423602
7883,True,26.0,48.3095000431,185.81,48.3095000401,100.0,22.3095000401
8044,True,26.0,36.0714351594,138.74,36.0714351594,100.0,10.0714351594
7886,True,26.0,27.4004425121,105.39,27.4004425121,100.0,1.4004425121
7909,True,358.0,30.632193828,8.56,358.0,8.56,0.0
