bus_id,cluster,medoid_idx
47793,0,47589
47794,0,47589
47795,0,47589
47796,0,47589
47797,0,47589
47798,0,47589
47799,0,47589
47800,0,47589
47801,0,47589
47802,0,47589
47804,0,47589
47805,0,47589
47806,0,47589
47807,0,47589
47808,0,47589
47809,0,47589
47810,0,47589
47811,0,47589
47812,0,47589
47813,0,47589
47814,0,47589
47815,0,47589
47816,0,47589
47817,0,47589
47818,0,47589
47819,0,47589
47820,0,47589
47821,0,47589
47823,0,47589
47849,0,47589
47850,0,47589
47855,0,47589
47858,0,47589
47859,0,47589
47860,0,47589
47861,0,47589
47862,0,47589
47863,0,47589
47865,0,47589
47867,0,47589
47870,0,47589
47871,0,47589
47876,0,47589
47879,0,47589
47880,0,47589
47884,0,47589
47891,0,47589
47895,0,47589
47898,0,47589
47906,0,47589
47912,0,47589
47924,0,47589
47925,0,47589
47926,0,47589
47929,0,47589
47944,0,47589
47947,0,47589
47950,0,47589
47951,0,47589
47980,0,47589
47981,0,47589
47982,0,47589
48028,0,47589
48036,0,47589
48067,0,47589
48068,0,47589
48072,0,47589
48073,0,47589
48076,0,47589
48077,0,47589
48083,0,47589
48085,0,47589
48086,0,47589
48096,0,47589
48097,0,47589
48099,0,47589
48101,0,47589
48102,0,47589
48103,0,47589
48105,0,47589
48107,0,47589
48108,0,47589
48110,0,47589
48111,0,47589
48113,0,47589
48114,0,47589
48115,0,47589
48120,0,47589
48121,0,47589
48122,0,47589
48123,0,47589
48125,0,47589
48128,0,47589
48136,0,47589
48137,0,47589
48138,0,47589
48142,0,47589
48144,0,47589
48147,0,47589
48148,0,47589
48151,0,47589
48153,0,47589
48156,0,47589
48161,0,47589
48163,0,47589
48166,0,47589
48167,0,47589
48168,0,47589
48170,0,47589
48171,0,47589
48175,0,47589
48177,0,47589
48187,0,47589
48188,0,47589
48191,0,47589
48192,0,47589
48193,0,47589
48196,0,47589
48198,0,47589
48199,0,47589
48202,0,47589
48203,0,47589
48206,0,47589
48210,0,47589
48218,0,47589
48221,0,47589
48225,0,47589
48226,0,47589
48227,0,47589
48229,0,47589
48230,0,47589
48233,0,47589
48234,0,47589
48236,0,47589
48237,0,47589
48240,0,47589
48247,0,47589
48249,0,47589
48250,0,47589
48254,0,47589
48263,0,47589
48264,0,47589
48265,0,47589
48268,0,47589
48269,0,47589
48273,0,47589
48277,0,47589
48278,0,47589
48279,0,47589
48282,0,47589
48283,0,47589
48284,0,47589
48286,0,47589
48297,0,47589
48303,0,47589
48304,0,47589
48306,0,47589
48312,0,47589
48313,0,47589
48325,0,47589
48328,0,47589
48330,0,47589
48331,0,47589
48337,0,47589
48339,0,47589
48341,0,47589
48343,0,47589
48344,0,47589
48345,0,47589
48346,0,47589
48349,0,47589
48350,0,47589
48351,0,47589
48361,0,47589
48367,0,47589
48380,0,47589
48385,0,47589
48386,0,47589
48392,0,47589
48396,0,47589
48397,0,47589
48442,0,47589
48550,0,47589
48551,0,47589
48552,0,47589
48553,0,47589
48554,0,47589
48558,0,47589
48562,0,47589
48565,0,47589
48566,0,47589
48567,0,47589
48568,0,47589
48570,0,47589
48596,0,47589
48599,0,47589
48638,0,47589
