,0 AC,1 AC,10 AC,11 AC,12 AC,13 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
49,7357.537413467691,5421.519593647681,11235.769398625005,13466.438862009421,2987.9340733209283,3382.894532899587,3818.1411261464964,4750.628317282359,3426.3648719881207,35614.14165714665,23898.25520171754,7379.208907659145,10110.945794117508,9065.341723683428
50,7023.681510150409,5022.990300191425,10971.13478766826,13038.528417212552,2887.1708545698116,3253.555524524569,3755.878132424632,4615.0204364936835,3234.002954475491,34755.438565269134,23596.475611029655,6884.737538380088,9957.031753280507,8833.564297799618
51,6781.433131691106,4722.442228511381,10849.691288310265,12802.50558534879,2834.340719855425,3181.124838346232,3703.3467259110994,4597.219925657035,3108.6009721105065,34165.534241576635,21196.283819052293,6483.595293342195,9925.302177348189,8805.138640090556
52,6358.995888233294,4578.4950448597465,10914.60114074451,12788.841051599822,2836.6052018875002,3180.1559412828856,3820.1585687658044,4815.520707442992,2937.7969497924123,34666.80762008381,18736.189170127767,6315.631207749849,10133.550981536846,8814.319669903272
53,6259.0495254816,4532.713426476597,11311.168185498871,13017.132745455734,2892.5040334374166,3255.167460888942,4034.685889403954,5056.597498658024,2900.5797415561583,37404.68047873219,16998.008199287757,6170.441462388436,10851.894950498467,9162.735356762096
54,6594.175993850234,4716.830580149398,11831.280358829526,15925.929705225559,3644.6235789568304,4220.205877204338,4328.0389842342665,5180.33503367947,3273.794331438109,39959.47958175186,14923.233024404259,6881.494204656884,11717.032426558779,10370.464873607609
55,6997.522783989097,4892.223000298711,12107.535389486391,22272.532997830458,5265.266384420976,6418.1350036397225,4508.91196086259,5210.155030988848,3660.6498994731564,41042.90813027414,14640.930234829097,7499.049951998245,11958.73535263082,11061.813964642874
56,7401.339665140714,5271.915147927599,12508.70501699698,29408.557675718424,6911.033332516068,8595.962423102908,4560.096048060918,5336.9567293209375,3880.953611056798,41330.11113844298,15307.349529902425,8230.503803369731,12021.67573468933,11442.946746976055
57,7521.682471415297,5396.955152082342,12760.379768638664,30522.31815523847,7109.245472323266,8855.038533649004,4602.420590434852,5344.348331803517,3899.3818509447074,41066.63991341119,18127.517509839534,8472.366709666896,11984.439688273393,11668.357238398346
58,7584.133153544144,5549.749942856585,12867.580857097295,29107.086351475955,6721.075757854873,8331.580176484837,4581.525879621978,5358.380919290206,3946.340005682665,40944.590742992055,19811.68068163211,8635.729324683676,11898.95718261379,11741.529546685068
59,7611.522822605018,5542.036532835814,12859.63758808146,31404.96257232061,7309.610734844573,9088.463400192994,4473.749163272741,5360.4999043381995,3914.127269525441,40695.16485900056,21682.550500424564,8563.019516475528,11801.63707539187,11868.701429223056
60,7573.634378028469,5503.378041199529,12827.24687654266,34749.30731747557,8253.06824280261,10349.848253211328,4451.209851114834,5348.509077843559,3852.7212261105224,40125.602063711245,22611.867299950885,8566.519528983416,11749.765864964515,11983.219703477695
61,7464.753839903343,5442.529882882229,12828.643845854614,28315.86660523578,6619.348765956717,8218.214730413449,4368.006343502396,5349.371499073845,3864.6423055705013,39534.244773704224,23202.991929946707,8534.095017319498,11743.535159168774,12106.032491815222
62,7323.546162264378,5272.239941381384,12837.132675145795,25705.800718501836,5949.224205524535,7310.984417838709,4310.54654557207,5302.183039000834,3738.7468305196917,39026.19088572932,23656.012995542438,8263.888341314912,11692.538546348058,11974.54380660952
63,7326.241138423889,5336.610941266431,13033.84632151424,27639.02357557073,6428.220536777901,7917.619581374425,4347.855376380514,5333.4307759628855,3695.8073249202234,39353.10830649487,22386.008747174572,8499.179666450273,11775.654300039416,11970.56838817147
64,7408.261313173251,5705.533294769504,13097.220712874443,26295.19931260524,6103.186568779386,7508.887365392381,4503.344377419098,5406.56174367054,3797.9423133791324,41137.83526282236,22415.82392565685,9021.47311172885,11764.84606951207,12406.530989229006
65,7648.779943636965,5867.686214970372,12917.118412521688,25741.799580602303,6033.458419442429,7402.680827884866,4678.299334114042,5404.816640047581,4046.1865564384766,42625.67276888424,22628.754865590105,8872.513282514463,11687.624066201453,12336.745030569025
66,7994.967725492665,5953.091362073762,12833.161493834155,26655.039007591928,6370.153981681379,7903.4706892794,4584.836171396308,5441.692499505935,4115.497360311987,41942.77860106287,24196.997496603995,8910.883411455212,11699.114270622975,12263.928933330164
67,7985.698379961302,5734.955055602346,12556.300994654357,25114.157249021206,6046.57130519407,7567.135170681806,4379.836697731099,5257.237980881706,3983.056786135695,39881.98804497781,27124.6109345923,8532.598374785473,11566.736304843178,12293.612637558435
68,7880.601651882585,5487.655466740802,12288.340322607732,24729.182661493443,5977.727923579746,7478.029959041583,4247.3302184922695,5013.641240103519,3860.8355746132347,38188.313644359834,26964.542763467507,8198.58504592885,11394.338360064237,12006.619370358467
69,7730.822026015151,5664.785649635593,11880.479849714295,22511.74690180317,5375.245944411799,6606.0199491455005,4147.595588401579,4851.144779302912,3744.719505075553,39063.968009906675,25934.700774709287,7824.262791996941,11076.929145656812,11261.576666921828
70,7925.2034733898045,6239.639769452621,11855.99344009811,19325.32425763255,4512.583468712337,5396.878905647858,3986.4659108225233,4929.859039169139,3843.333696047477,39214.592184511246,24733.333497333446,8258.717541091177,10919.139451184854,10712.43087384647
71,7868.235497073699,5945.2016731807435,11589.248683466041,15388.230094435079,3486.258622929562,4059.7457831167812,3921.3245704425044,4828.154564021709,3657.2654161735736,37765.98476894123,27170.384461761834,7866.840945919286,10581.203542272786,10039.545860114917
72,7924.538853332794,5677.159437571925,11287.809542748844,14050.589133778718,3139.159104356329,3587.1250737544788,3992.246327856346,4986.367662407457,3461.9248766748233,37433.73980502246,25362.682248568344,7251.955173303173,10375.15239919683,9342.329657157477
73,7779.001904051788,5507.671791547381,11200.262734132744,13339.940313209161,2956.2957318223957,3344.5362221964288,3945.7355372869674,4950.868973525253,3393.7619919089507,36652.52824991901,24268.364291772057,7075.2598456094265,10293.53177928257,9083.416791167972
74,7442.5256472780275,5131.303734496307,10928.689563418237,12996.110887064331,2874.7446023259868,3237.492497595517,3886.4504801684307,4814.000543972465,3200.2169092380946,35735.22218335611,24033.98301241078,6576.346385211489,10138.920220136635,8858.789427999074
75,7196.097484975589,4851.886497079547,10800.637682592263,12827.631564297182,2839.9404520315607,3188.693824200638,3827.2325855224244,4777.402604533198,3073.445900539689,35067.82632288955,21727.713747348418,6167.234918342249,10116.655176236804,8836.573423546335
76,6764.603464464884,4735.189492735651,10830.01349997416,12776.967527813304,2832.341230076508,3174.4157556963473,3934.1389056411967,4965.002109820618,2899.533242124605,35523.08910143713,19369.840224137657,5993.387786330864,10368.212565914237,8846.982977534164
77,6654.592124572908,4682.549533780302,11078.954533351083,12994.558214767472,2885.7719561801705,3245.976964627539,4149.096278005762,5190.218076477466,2855.4888831961916,38229.96534537589,17712.1773859741,5861.219312962122,11051.954808381903,9196.864889087625
78,6989.554871356421,4847.570848221049,11430.894664600703,15965.1658902265,3655.1910029622873,4234.837247991491,4441.379531832624,5321.291117125059,3226.2683661432266,40805.59029890359,15715.150918352014,6614.055476207916,11810.00665530162,10400.30377819439
79,7409.721218982134,5007.016269586458,11655.117905036615,22279.32397653879,5266.3188163547875,6418.893452055899,4610.838880199862,5362.534555409725,3619.7350861106033,41950.04343263544,15453.187719963935,7267.312129183989,12049.815024010237,11095.705961413412
80,7829.914319392095,5363.10245682052,12063.809313888718,29423.542349046704,6914.264729599546,8600.232691101262,4652.651975425782,5503.531546391139,3847.905120674175,42380.60578383628,16083.826874242091,8021.381434463536,12153.953069095394,11488.747592697575
81,7953.034645914457,5479.075361473257,12328.06277438476,30565.80529780973,7120.274455294633,8869.456802710025,4686.913507233564,5519.141756024737,3871.59726519251,42193.657451368876,18788.42560717913,8276.476494489747,12124.1257612323,11726.728915090991
82,8000.723072720101,5604.44480955535,12453.518253989738,29098.740826405447,6717.63174336737,8325.208919195695,4657.192488824667,5525.744037236151,3926.9457710569695,42064.34344937717,20116.639513781483,8446.305084490188,12042.84573320481,11795.99101813949
83,8017.999186386914,5600.731758590416,12466.508380781588,31416.100232950397,7312.0788402908265,9090.557124652209,4548.847363766091,5521.848180086058,3899.8434194524634,41762.61077806319,21630.412012417077,8372.796054825323,11941.319991070133,11919.943222064274
84,7970.701844311602,5567.044963548021,12449.349705054909,34785.583535348844,8261.244084254378,10363.355028071048,4531.169450256103,5507.620571331859,3841.4766357510825,41030.80007765319,22349.759153743544,8375.050993086123,11875.993235643266,12031.08020322211
85,7847.572041541904,5515.824284171041,12449.147340838412,28302.51825957858,6615.717318814643,8214.308188315827,4450.2659040301705,5502.835300566645,3853.973511175127,40220.04487415463,22833.256476652525,8337.579243489985,11836.202957976686,12153.30701216233
86,7696.3054561795025,5345.490872136228,12432.62737774388,25724.1304841245,5954.09115835605,7315.593226988345,4389.7392737171,5453.193338442929,3726.146058140033,39613.1892767928,23261.841870155014,8059.218602363125,11747.55486598089,12016.677944746332
87,7694.4071360161915,5407.356456219582,12600.931376417955,27658.866518528346,6431.589481339152,7921.530966693095,4417.920814374979,5480.060494477754,3680.032144871626,39796.263032421506,22042.619298238114,8288.409435163796,11774.419067779225,12003.065472014168
88,7782.033985524303,5727.031454973523,12579.52050824804,26318.83469099889,6107.928082185749,7516.514469899367,4560.875393627378,5543.102214038803,3774.532668192489,41565.97600349902,22095.32603006125,8804.780281659869,11740.161053448148,12442.983883361772
89,8028.253687840782,5857.893069173111,12342.509077562814,25778.17498874644,6042.160234700051,7412.682563671873,4726.731490872473,5530.550790735367,3998.364207002992,43000.53807802874,22276.207005661792,8626.691514219936,11656.74968016083,12382.193457713543
90,8372.329562817646,5954.878171338713,12258.071366525164,26674.58749099364,6373.561187688913,7908.121150130053,4625.059136777575,5568.4606485506,4041.2182191001143,42246.93288290104,23782.625255007628,8645.438747715985,11651.962605965895,12312.342501095283
91,8355.394300912361,5763.001865234134,12017.304450275344,25105.516548597952,6042.655076654351,7562.958861171789,4413.705371003187,5401.623311609331,3896.4598964989414,40148.365202638626,26617.03931649944,8268.164289251872,11505.840215508568,12340.06183151057
92,8245.84394457982,5558.3826069161305,11823.0726126714,24764.22907134935,5986.570676569875,7490.400998565456,4281.601438780775,5168.264425176597,3777.456422302535,38482.78148410125,26271.817288257334,7949.941826064817,11319.902518605584,12052.696721217886
93,8092.042179826916,5704.924022768753,11521.442266429704,22473.663942120074,5362.3445721831295,6588.552872434524,4184.686448240474,5010.43369140067,3672.769416988114,39337.12567703522,25130.923224351285,7572.515258015548,11005.31923637544,11305.310100007559
94,8281.176784644622,6252.862127977268,11599.347836619847,19337.217652965417,4513.790399397593,5397.136080685526,4027.8270716915636,5084.450675508825,3787.7261816294977,39459.17484745436,24025.93515554336,7993.390771053054,10862.62573523555,10754.942008509179
95,8226.045305945023,5985.85631867311,11410.434265079266,15417.52066654348,3491.958125459294,4066.834321443188,3972.034197162515,4972.444790820329,3610.987496196165,38037.68946975526,26756.083818957966,7584.078244548805,10538.706602623795,10079.666467956155
96,8033.60227561275,5610.778071576044,10909.063550704732,14029.25155628439,3132.5810415284213,3577.8822707057534,3895.2462979907045,5149.978712020672,3481.7327890425063,37641.513987997896,24330.15070490396,7389.958103844253,10203.060835606,8994.85604252592
97,7886.2718193346445,5449.977741176627,10818.690512461846,13361.915127384675,2961.7651813523294,3351.8790296278758,3854.9537329705327,5109.496080842721,3403.872360932425,36878.222350773445,23070.67317050957,7217.1334133872915,10122.631954095486,8732.796627368867
98,7549.463124488662,5080.854764394974,10529.786995598488,12989.024115840715,2872.223705770306,3233.950165720733,3809.9170890263767,4968.115083558755,3204.959775128703,35851.4594885172,22748.508813133598,6719.268960142957,9967.003808184074,8491.967680057081
99,7305.892442434662,4810.966029784641,10323.924720223544,12803.12958078333,2832.6092683306297,3178.6775587504867,3760.8037810271803,4927.112829107097,3073.232731425396,35064.92039026052,20405.31612340581,6308.160294265349,9941.63503767141,8433.497157227688
100,6889.467666471188,4714.666845961478,10147.617372891991,12814.5513428824,2842.1303484594905,3187.7825614677677,3880.3269656014327,5125.108150353146,2893.015124079425,35308.050086889125,18034.614212738787,6124.820400287205,10188.507365240293,8374.0608147953
101,6804.898138798689,4682.498571750723,10201.63790165343,12986.561055434086,2883.2839935276183,3242.5862255715692,4104.467485107517,5359.046368042597,2836.9147223175673,37544.16524492549,16380.825703193586,5969.600726157989,10884.004231726803,8646.06937098742
102,7159.04729765682,4851.061653561931,10507.882317969023,15953.043582574282,3651.792999074745,4229.953343886305,4387.476080571103,5501.314196925994,3199.637006179397,39671.792251478175,14454.581876581222,6696.650743864893,11657.427562913286,9818.449321301405
103,7583.67601845731,4996.491014423831,10750.138216866888,22285.347177057105,5267.79067123139,6421.979068185821,4538.80246584559,5554.479432304124,3603.8490588565164,40869.03649463735,14452.699535371905,7334.345180764394,11889.688063827205,10519.409311752841
