,PV,KWK
290,0,1.40913104827315
291,0,1.4456055812848
292,0,1.45255439418978
293,0,1.47887324336837
294,0,1.82476333949036
295,0,1.7703931727073
296,0,1.80772675374736
297,0.012,1.75769880334282
298,0.035,1.77693647616033
299,0.035,1.7298975949877
300,0.038,1.60817274233315
301,0.06,1.76408822086443
302,0.008,1.78415867568408
303,0,1.73717913344144
304,0,1.9012573459942
305,0,1.70060822847674
306,0,1.64467115225341
307,0,1.695300529261
308,0,1.66675763999356
309,0,1.67744909418155
310,0,1.66556182344745
311,0,1.4014319135858
312,0,1.40304988056136
313,0,1.39247810496961
314,0,1.39197318574211
315,0,1.4179731511458
316,0,1.59029097603685
317,0,1.45666375141288
318,0,1.94943304116211
319,0,1.82625847118182
320,0.03,1.80770969583345
321,0.086,1.78738173108502
322,0.111,1.86394345860779
323,0.118,1.78096975714414
324,0.1,1.62857363296716
325,0.063,1.91294313182464
326,0.02,1.84339954485891
327,0,1.79226173230459
328,0,1.90294543352991
329,0,1.7425857470197
330,0,1.70156125660579
331,0,1.69041066537948
332,0,1.83522468391695
333,0,1.72007111967321
334,0,1.68283299177724
335,0,1.3401988821712
336,0,1.56896562861443
337,0,1.4344569983437
338,0,1.36567066232399
339,0,1.39011873620389
340,0,1.38720073830726
341,0,1.41757023268146
342,0,1.88305787636463
343,0,1.77373066659719
344,0.005,1.69901337102547
345,0.024,1.86094616325301
346,0.042,1.84754755685561
347,0.028,1.71631473847113
348,0.013,1.57118265937815
349,0.011,1.77133352825459
350,0.001,1.77601326010055
351,0,1.7153566225387
352,0,1.8700642467109
353,0,1.75338113354704
354,0,1.7681656535306
355,0,1.7955059371245
356,0,1.67042407464955
357,0,1.61832440858678
358,0,1.66479597149661
359,0,1.31340094169668
360,0,1.3247136829975
361,0,1.31080702822404
362,0,1.29842099021191
363,0,1.32415489460257
364,0,1.31550316713889
365,0,1.36426628932946
366,0,2.34067193383927
367,0,1.73151742814541
368,0.001,1.66929288890652
369,0.005,1.77477910386748
370,0.013,1.86174593313235
371,0.035,1.70719165683697
372,0.029,1.44208201179526
373,0.013,1.52048883803661
374,0,1.76376476019282
375,0,1.71510718444857
376,0,2.23105694795252
377,0,1.78886431956821
378,0,1.55217444921374
379,0,1.58570888016055
380,0,1.52237720409909
381,0,1.51654404275261
382,0,1.59178223753937
383,0,1.15644710948252
384,0,1.32267161985376
385,0,1.31417354700324
386,0,1.30343760587784
387,0,1.34567769419979
388,0,1.34945211421455
389,0,1.34336120526259
390,0,1.86661985942902
391,0,1.72674039326576
392,0.021,1.68161545636034
393,0.065,1.76191757870438
394,0.097,1.75193823179265
395,0.114,1.6571269768498
396,0.097,1.4456318783484
397,0.055,1.61219045441715
398,0.014,1.77094670822108
399,0,1.74521322680728
400,0,1.78998469229205
401,0,1.8306216077788
402,0,1.71285226888644
403,0,1.61959302151688
404,0,1.57951981282525
405,0,1.57997661914244
406,0,1.59641011706215
407,0,1.08527038657414
408,0,1.17537911344113
409,0,1.17566006038396
410,0,1.16683531983848
411,0,1.27688593920581
412,0,1.29451881471373
413,0,1.3595232123935
414,0,2.0833958465701
415,0,1.80133778556384
416,0.042,1.8184314476861
417,0.1,1.86323011511929
418,0.129,1.84162369245959
419,0.134,1.74586309708333
420,0.111,1.58007056936284
421,0.069,1.69878372793942
422,0.025,1.85385704369571
423,0,1.92962417057533
424,0,2.00035394666711
425,0,1.82822963181486
426,0,1.77542160177924
427,0,1.87405411040794
428,0,1.75160622586889
429,0,1.70102855495057
430,0,1.71468246236597
431,0,1.08887012713
432,0,1.18585895737217
433,0,1.1334401938679
434,0,1.13132030629813
435,0,1.23752128121636
436,0,1.31625764117012
437,0,1.32978879394202
438,0,2.12055979163956
439,0,1.9524120323625
440,0.032,1.86458523515828
441,0.083,1.99315035516977
442,0.122,1.95009883543223
443,0.132,1.87668435588976
444,0.113,1.66146590177778
445,0.073,1.76448872392426
446,0.026,1.85089225754289
447,0,1.98122526614523
448,0,1.88054009344585
449,0,2.11118672027848
450,0,2.08731167562799
451,0,1.73863381125886
452,0,2.03394140467678
453,0,1.61697850524866
454,0,1.66884109843747
455,0,1.01116986343545
456,0,1.22699842322263
457,0,1.21334962599947
458,0,1.22553739797827
459,0,1.33663807366865
460,0,1.33082425713553
461,0,1.42684245638907
462,0,2.09916342629897
463,0.001,2.03608413784269
464,0.053,1.78468539813246
465,0.112,1.89481138895716
466,0.142,2.05259133904917
