name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom
14856,9161,32004,AC,0.190558182,0.05509632539999999,4.2370688988919664e-08,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.004681451408687396,0.1016435041407033,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4bb730>,380.0
5584,9161,9159,AC,15.105106399999999,4.367370779999999,3.3586291772853186e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.3083021126800725,6.693844351055839,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613ec40850>,380.0
14859,9164,32976,AC,0.8860961599999999,0.25619808999999993,1.9702426145429363e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.020994986801234402,0.45584239620755157,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7161369a9960>,380.0
5587,9164,34192,AC,25.384292599999995,7.339418799999999,5.644206891966759e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.5195631355781423,11.280736060721143,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716137d47b50>,380.0
26420,9164,35572,AC,0.049576418799999994,0.009310579879999998,2.900874864958449e-07,280.0,True,280.0,1554.6888048738242,1.0,40.0,0.002027635868962611,0.044023956856688966,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d463640>,380.0
14741,9169,34698,AC,4.953237679989475,1.4321357349977248,4.405430259695291e-06,1040.0,True,1040.0,1554.6888048738242,1.0,40.0,0.20428868531320107,4.43550856749216,3.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613699fbe0>,380.0
14862,9169,9003,AC,10.054210999999999,2.9069849899999998,8.942244229916898e-06,1040.0,True,1040.0,1554.6888048738242,1.0,40.0,0.4104337232474915,8.911322196140816,4.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d49ed40>,380.0
1501,918,31656,AC,20.1685646,5.8313701799999995,4.484505854570637e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.41295722179662187,8.966112305625153,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d60d960>,380.0
14715,918,8885,AC,5.371246799999999,1.5530003399999999,1.1943020599722993e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.10974211613236352,2.3827168674248824,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d60c700>,380.0
1503,918,913,AC,11.168401399999999,3.2291377799999994,2.483312328254848e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.22815867896552816,4.953773008758495,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d60db70>,380.0
14869,9182,34574,AC,0.24750448799999997,0.0715613188,1.3758180145429364e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.002984308839246746,0.06479520588341738,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613c466d40>,380.0
24639,9183,34575,AC,0.146600656,0.04238674279999999,8.149166405124654e-09,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.0016689256014966345,0.03623565246697968,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613ecf5ed0>,380.0
5595,9183,9182,AC,25.6708544,7.422232199999999,5.707921603878116e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.5240183378286971,11.377467251300544,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716137d452d0>,380.0
14873,9185,32613,AC,0.5059212839999999,0.1462772,2.8122988427977842e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.006035137968569704,0.13103469790579908,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716137d44910>,380.0
14811,9185,9111,AC,1.1127059679999998,0.32171886799999994,6.185274983379502e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.011363513248531326,0.24672418980716965,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613c466e00>,380.0
5494,9185,9183,AC,11.393737599999998,3.2942766199999998,2.5333999598337952e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.2325452877917593,5.049014901382921,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613ecf6230>,380.0
