,0 AC,1 AC,10 AC,11 AC,11 land_transport_EV,12 AC,12 land_transport_EV,13 AC,13 land_transport_EV,2 AC,3 AC,4 AC,48639 CH4,48640 CH4,48641 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48646 CH4,48647 CH4,48648 CH4,48649 CH4,48650 CH4,5 AC,50834 central_heat,52040 rural_heat,52043 rural_heat,52053 rural_heat,52087 CH4_for_industry,52087 rural_gas_boiler,52101 H2_for_industry,52101 H2_hgv_load,52102 central_heat,52103 central_heat,52104 central_heat,52105 central_heat,52106 central_heat,52107 central_heat,52108 central_heat,52109 central_heat,52110 central_heat,52111 central_heat,52112 central_heat,52114 central_heat,52115 central_heat,52116 central_heat,52117 central_heat,52118 central_heat,52119 central_heat,52120 central_heat,52121 central_heat,52122 central_heat,6 AC,7 AC,8 AC,9 AC
126,10370.245059478622,10657.965569145297,18121.646637370162,32863.65628705635,1521.4380682094488,7521.091937435012,401.42193738278,8707.725655633221,488.0502618683968,6771.207918449061,9354.669389347198,5446.152447012333,17725.077933501296,26300.425051491544,4213.64261536585,28612.061761058656,8033.247805371821,60009.86534339845,96618.88576399385,1427.908228830692,57789.452201457556,6174.0664657506095,74756.121202035,4326.667549669605,62258.0,72.13444698982886,5603.5129588227,1506.67081681531,2056.17608036324,25969.7501693535,134431.11792940964,1989.4709571738,3019.572749592712,630.1368368637186,625.7446190344089,491.7230429600643,1420.9701149209072,2476.033079303116,449.45635954719455,824.7403364210345,406.70095628552554,2273.4054168018993,3799.202241207174,698.5225602583332,1111.8630284058142,4087.4017622131514,744.9552430630398,368.89966442716366,386.0183618329429,33.02950522258112,624.8036800349157,318.61222980447883,1064.7492473266122,27918.774498263025,14649.16662004609,20117.57187857446,14420.066493453023
127,10896.005382348132,10859.768926942506,18566.164225957044,45990.59438547329,3572.8147102490766,10880.457564453438,923.7292466140352,13264.56536746313,1126.885528712999,7084.281721870613,9536.377129709563,5784.4663464862815,17120.77984507137,25393.458825053513,4077.608823940461,27577.429185460693,7746.680126819933,57844.20636900834,92221.29626849732,1378.4601223123416,55714.52585218083,5956.246308669541,71970.4121955244,4173.757264617791,64650.0,69.98419082028032,5345.424543579,1457.56761788785,1981.1827470747799,26003.7365517182,128440.8352968838,1971.2227682724001,3019.572749592712,607.859472680895,600.8323419797695,490.9986446960933,1345.251323853381,2367.5067720915586,423.50596131155146,796.7029564665793,410.1586152571644,2201.9111995570447,3617.572263554623,695.6903116716313,1072.8287391185208,3947.0293456983673,729.790035032263,350.0185321019862,379.56204354710803,34.34635008597328,610.4047556472887,316.29189606144814,1033.656531721234,27255.849189715867,16109.05244503553,20912.953171259098,14845.823437285815
128,11366.900808304488,11473.826935550918,19302.528189519933,60714.30719949481,5793.402869644575,14276.779054047793,1448.7182199093513,17760.238248579335,1723.3678864096291,7162.12850990879,10056.926105544539,6345.682575616633,16455.911331834424,24395.584931236117,3927.93999925499,26439.09260049547,7431.388998106306,55461.47756339178,89355.69093623235,1324.0556989115382,53431.62404704009,5716.593450644123,68905.48407324348,4005.5203699005133,66980.0,66.74680648489857,5112.0814020132,1408.4143605468,1913.0408606660799,25421.7490195618,122900.15986990358,1936.9628587921,3019.572749592712,581.0242879576226,572.1486581753682,474.27224729063755,1278.0719046108475,2245.042797487967,398.7525074504605,760.0559522975173,403.87302249220875,2113.7954258181458,3442.557424529759,686.944101628131,1037.6632827826259,3807.9638055122896,711.4561087384129,331.1561498265081,369.7870086661887,35.180952350655765,590.8634119989972,307.3309270068821,1001.3044469661105,29016.93441318865,17722.351181042337,21724.48341467521,15877.864613357955
129,11562.727235582532,11566.283125399139,19771.494905159387,63050.922546733,5027.995275921887,14693.854905691098,1268.7104955036193,18301.137472842704,1527.771935500903,7169.998557999565,10182.777195871531,6643.725687592247,15799.340196871231,23410.16423230111,3780.13900080806,25314.962146607686,7120.03261695436,53108.48456542796,86202.858264302,1270.3302279227303,51177.21223572813,5479.931395127523,65878.80542060376,3839.3830258872913,67777.0,67.90993369823266,5261.58087059012,1426.58842070979,1939.58072028017,25455.4746370601,126296.07675986517,1980.2726971804,3019.572749592712,589.7545006616341,584.8505432515097,473.69409029379455,1327.481410897333,2321.1205045208126,417.2632661104905,780.8291965693516,398.09378064288256,2152.308530042719,3565.5151953542563,679.545658647209,1057.9977391795296,3887.242802004376,714.923930915685,345.165901781908,369.8306314217953,32.837278674515794,594.8326361398952,306.6374132963903,1018.1568400156574,35538.06375209811,18267.98596617843,22149.078023544083,17160.340271338577
130,11685.83571953815,11774.475193127395,19991.353485559805,60179.07931160406,3616.7634831899777,13889.124746491261,931.4922500709072,17216.56122440724,1114.4797444617143,7394.0925422999735,10154.824655405253,6816.678794572455,15326.22826691977,22700.089932867602,3673.636579516115,24504.93639275564,6895.675482524806,51412.96522388496,83089.37208689208,1231.6167360959978,49552.72851087635,5309.39748666075,63697.84177106177,3719.667803457491,67978.0,68.8384550208265,5311.46829000241,1433.35151686642,1950.17588951084,24494.8183774246,127391.01939863176,1878.7685772745,3019.572749592712,595.0653485698966,589.5720563714242,469.6569982694768,1350.0280605748521,2341.212019637033,420.2605596960283,781.3963475223079,392.8840040644203,2171.795941045429,3588.274070344816,670.6127304767119,1064.6748681669999,3923.5091400933056,712.9765055949782,346.88942835379135,367.19741384113166,31.56245946035897,596.6080851193266,304.38335628154766,1025.7025951921787,38894.83045451088,18621.546368468393,22259.946679536028,17741.854527210155
131,11777.253844592364,11658.02439076323,20008.666531761046,64844.237601666115,3073.8100538847502,15094.693399382539,773.9887123047374,18766.05250639915,947.5577653073706,7266.620450919474,10160.241019241796,6797.6297852280095,15113.053285085516,22380.144342194704,3625.648671609114,24139.954631715693,6794.584546049557,50648.99737198543,80845.8566841716,1214.173193892885,48820.767918441394,5232.558243052458,62715.14220899408,3665.7264657926917,69148.0,64.35798449615397,4963.42305653242,1341.49553185911,1832.50666825926,24693.6827388776,119109.64283147975,1892.7223143848,3019.572749592712,572.7457321869812,565.4268321367206,466.34045869510936,1284.847567571595,2192.5254838835176,401.77145468798307,748.3557671325085,370.13035294746555,2039.320458842806,3334.5529076064636,630.3796583265613,995.9068639697822,3666.462612531041,668.4880885164674,323.1270496914311,343.98398645585553,30.085488560450553,555.6796680194047,285.00629877723264,959.7743711007599,42248.4117130349,18457.248229093253,22183.727780396075,17979.485265512216
132,11733.713205703883,11622.977466457804,19997.391595671696,71849.9514191198,2764.7441935071256,17057.744368457497,706.0852770507336,21399.265292134864,858.4616388324648,7294.027508514452,10173.003881011196,6702.176667963374,14873.50645845694,22020.61833083993,3571.724186865382,23729.821032162225,6680.987665096685,49790.51917255454,79834.97252559863,1194.5717137193526,47998.25659170749,5146.21322822695,61610.87303257812,3605.1120533953226,66979.0,56.2788260351235,4232.01337183255,1152.71947840141,1577.8137392143599,24704.9879497762,101553.80772977584,1928.5251655543,3019.572749592712,501.4750804759898,490.9917834431601,417.0323138300082,1087.483496218415,1873.2225363094021,343.76724360726,646.3060806773522,330.91932211145576,1755.2352979140928,2844.2405444352194,560.3266997701015,862.2999201486815,3180.419805755041,586.129980964259,272.5065811694102,300.69980833936035,27.931839038841694,484.8240999333033,251.28877646842088,830.4041090253498,43717.173804690276,18454.020893766086,22140.847591817565,17958.071549412623
133,11604.727903870764,11527.001290579097,20090.346842671774,58517.37187228813,3049.9822298507206,13678.198793984422,766.4990765578696,16985.54587135296,943.1834822302917,7215.189283271592,10119.668171045441,6622.0571361979055,14889.28004629391,22044.29226215263,3575.274985716028,23756.827352590255,6688.467749074145,49847.04791674803,78699.03204050206,1195.8624244902003,48052.41700302138,5151.898841744789,61683.58652703348,3609.1033680438723,64660.0,64.38861230408295,4845.17752318626,1299.88202068715,1774.44351030023,24382.7882668746,116088.91228118421,1920.1537900315,3019.572749592712,557.8202514497669,551.0382287129362,443.1755175386006,1267.7535662179707,2136.618331140965,389.7369627997524,729.8724904803217,354.1691763143838,2016.1193657021988,3261.764099731475,606.6655360538426,983.244681208145,3642.95781905866,654.2975112454573,316.39840119892915,334.0896721944315,27.95069807628362,546.1941269634661,274.9499339037972,947.9337640745609,44627.614643156594,18365.567250725762,22171.40349170784,17999.970034800805
134,11508.13692291941,11173.139885509467,20212.436446430504,53053.782088025066,3433.2131301609334,12278.87873363829,856.9104463520925,15085.682699812385,1053.8872389129829,7175.007554327307,10056.521045058638,6404.349620493485,15098.8718485964,22358.860005566366,3622.456282603739,24115.67427001782,6787.859485336929,50598.17451520261,78773.83101518029,1213.0127646353324,48772.07434021361,5227.4465228884565,62649.768255130286,3662.1380256875286,62590.0,66.73056044560877,5195.25329173913,1389.7308056183501,1899.9468641761,23761.293038205302,124510.19862560798,1879.4209503975,3019.572749592712,583.0009098083818,581.0995769320061,457.45873739053815,1351.413944082021,2288.7871230999685,417.33853236066153,774.0565608543338,367.75745894756847,2127.7119769799206,3490.9716836559355,633.660781137011,1038.296179234921,3835.941753022008,687.3348544799094,341.1482197267097,351.9606798066315,28.3750901983378,576.4719943037422,290.96673659513993,998.7425131238939,45308.69366695725,17792.807924978006,22175.7992699927,17442.55110791926
135,11496.415889061258,11212.214021007476,20703.71264161891,57194.755372689484,3831.158942331327,13298.400387340469,983.6022348536644,16380.854560920496,1226.0975198520755,7319.182944025367,10146.482065640503,6429.317929534025,15679.697539814368,23230.59747332986,3753.206193031124,25110.119217609274,7063.296183156189,52679.7140646834,79767.72359530996,1260.5401872729951,50766.40553887135,5436.806019004899,65327.27359598373,3809.108905969994,61777.0,66.45844455820848,5188.96175985781,1391.39196913717,1904.6337429351001,23916.2746299014,124457.83168614334,1891.4731497506,3019.572749592712,589.4609459584506,583.009796777278,460.2718178469338,1356.6666438358516,2278.0223339653326,421.2132551278347,779.3738676954227,367.8896592694243,2125.180393574424,3463.4312383366505,631.4497810642906,1036.1475896923912,3819.6232486001018,687.3819963525779,335.36847005569996,351.6289804984261,28.63202517503684,576.3192731921736,290.8276400110935,994.607546714319,42621.8295947532,18308.158920268223,22454.735809311802,17440.32291351026
136,11559.352080230728,11732.615114609964,21009.291737642,54416.95685776109,4265.877332084812,12624.01223062931,1065.7284008269198,15535.432149345941,1312.6750079081394,7554.938157757018,10293.11369964624,6688.546376033117,16307.4142809669,24172.711795541738,3894.5117670103987,26184.847404044573,7360.969355956731,54929.29985666218,82522.02189566563,1311.9045799033076,52921.742500938446,5663.067464768378,68220.93851541009,3967.9449964014793,64607.0,68.03151946762523,5299.55274251705,1411.05377972288,1932.46314800552,23862.6384183936,126993.11641622166,1897.715865055,3019.572749592712,599.3616308395938,597.9642763460149,466.26617290445824,1389.0061931869573,2326.8582081640184,429.2480309472669,795.0927784955422,367.642047802714,2170.4731042647263,3545.6721503419494,632.4200829142728,1053.5396417792595,3900.4506402159977,697.0945912263795,345.57738798495456,358.1379705267757,28.264618697449276,582.7074067158993,294.0451478862979,1014.4033976445925,42672.94813605379,19497.36308576371,22540.47127194913,18469.37784456361
137,11775.14605074221,12053.128160315,20776.044825835925,53191.8382537624,4693.788503462682,12453.432619665144,1170.8202163374517,15278.854092648702,1426.1249244359788,7863.879641758309,10160.494462961833,7179.560978053696,16831.438717866306,24959.198589386833,4012.475123697812,27082.041625251142,7609.470003669993,56807.27737520685,85498.67940135505,1354.7841068621706,54721.04012011924,5851.952863125853,70636.59996040173,4100.543009790193,66358.0,66.59414828598976,5179.64669026124,1379.78149606123,1897.5161714145,23547.4433626811,124202.76104617331,1867.1111009141,3019.572749592712,597.0254899002315,589.7058680227501,469.80765851875896,1365.3892555591424,2269.5721918681697,425.08625186605843,784.5787828562754,360.7633485363708,2126.202141310005,3439.8683281935937,622.7749219628456,1032.1901878304943,3816.866033682581,682.0623710658754,335.830832697176,348.267934343055,27.863909757011474,576.5343215488889,288.18833783896645,990.7204170726621,43194.29729630362,19158.007974919285,22384.25100501464,18418.89998971479
138,12035.731013185625,12319.220288772838,20642.396735270053,55191.46848288911,4753.07999318256,13168.598955183235,1183.9033922436647,16338.581754749575,1431.3452713787556,7692.165178598513,10246.155884878186,7411.795849156312,17123.39683589866,25397.38655929708,4078.1979358227877,27581.909795298452,7747.921145119554,57853.58503457013,87983.62391692959,1378.6742637164975,55723.51158840494,5957.189606958902,71982.47606773766,4174.419462332859,63761.0,63.8006625638172,4783.06878201401,1288.0022817353,1774.8412090421002,23719.9152853151,114893.347953827,1900.640970609,3019.572749592712,561.0369558837431,548.3001873668188,451.60128021462486,1279.6168335538453,2090.7635579894622,387.15791908529565,733.8060502129537,338.70225005764956,1998.410188005369,3147.621408574399,580.6985166496319,970.8991383253185,3583.5591252921763,641.5371092474119,304.34093150742194,328.6334771291378,26.657197936327286,541.0098601478578,270.0100900272789,928.4809860472934,46784.98703520743,19186.997321804192,22288.604727013175,18410.92334071693
139,12068.06706683863,11955.665247578374,20090.12601277849,51897.0014820909,4846.363246287219,12477.364340436006,1205.0380962407216,15615.077816317349,1438.0303953555995,7359.365448287128,10117.264923837118,7126.726629390629,16918.25854177512,25089.50290372809,4032.019169994378,27230.6878310618,7650.641332631956,57118.418738059096,89368.10080979101,1361.8883423094508,55019.14587904365,5883.247199552936,71036.82423719009,4122.511710794257,61482.0,65.34659672736434,4991.03663951093,1349.28899034518,1870.9338300192699,23744.2469779253,120299.25423794192,1906.8601262209,3019.572749592712,577.5221050141722,564.700830617062,455.3851279339151,1333.8317335197592,2141.210112946354,394.7390930199389,765.3032276326377,347.80059291422396,2076.869692927879,3231.4865362255887,593.2033539881515,1011.882357094487,3741.231006068406,668.639116243448,313.13470500124765,340.0310006980383,26.689173337337767,561.8213614726537,280.6286573637588,972.9610868228376,52891.00786653383,18328.04564968851,21936.31116500217,18244.996128942454
140,12081.350892810784,11541.06714897752,19592.876716430954,51143.816633719616,4160.142177963746,12352.384546199373,1041.4697095353622,15449.758578636149,1270.1242986205034,7237.5022521002575,9810.17734849251,6923.543593344772,15623.047018292238,23145.573028086015,3740.453570813001,25013.126564291946,7036.431612918128,52476.692223828286,88395.32694082266,1255.9046256583215,50571.88951762769,5416.386253109667,65066.124552077694,3794.774180177976,59588.0,60.911725679318046,4655.16608559682,1263.41282294948,1759.6274460672,23642.3394344928,112433.84621805059,1874.8881287956,3019.572749592712,550.5987521205363,533.738834907122,444.16886737957003,1265.4265857816165,1981.037370883929,367.09879761133806,728.6152349833185,329.61929376468004,1972.3156809921502,2974.8175940358174,554.5141203270117,956.8505506497207,3538.8238155982745,630.0312479249924,286.56076352190144,318.67841380230965,25.057182406542232,529.817232482276,262.7925822943777,916.7874564569447,52574.09601636204,17564.817208691275,21605.080110531264,17752.95265257379
141,11977.639522810408,11938.855357626251,19037.41630444327,46564.056091503,3518.001661087852,11106.514937647948,874.0727225398441,13650.284231371079,1027.7889499130251,7261.804718030433,9653.771155698356,6827.5354012295775,13196.04882746887,19502.990943436147,3194.111009084793,20857.807463966223,5885.510816195241,43778.914565055034,82253.38289174094,1057.3098139959416,42238.514661403366,4541.571096017014,53878.08532374315,3180.6517920975225,61742.0,59.85426450951064,4552.72839459676,1223.03913531253,1714.1135235490701,23401.4681824559,109705.82469166182,1876.0591860479,3019.572749592712,549.4233839688621,531.1048628437213,447.54385346491944,1252.986850637378,1931.7830814518588,365.5897465016698,717.3091261783093,314.00199690617524,1915.7179526318503,2887.0828326782275,529.6705545871021,926.2580109455888,3413.9078836937165,606.6705538972271,277.7497319730634,307.5771792045492,23.670889527257476,509.2044549030826,253.98159912278948,883.9114525125339,50437.95675351863,16678.22089471366,21120.162841612408,16766.419322593734
142,11968.547285696055,13219.875152198605,19263.506399405313,39943.49969963053,2879.2513811823446,9311.352833141256,720.1968074637989,11133.87041274782,866.0746961643454,7071.625519839078,9886.571054038412,7145.308519789824,10334.58772040593,15208.341279534352,2549.966321449887,15958.63446994598,4528.560856535334,33524.12633218159,70744.46189698677,823.1640565804396,32413.36187314668,3510.1531257215547,40687.24767202127,2456.593844665487,63128.0,59.13799719696105,4526.996948682579,1215.06961934863,1699.48905128423,21945.8941441158,109134.35285150085,1797.6400336782,3019.572749592712,538.9568398566116,521.5113685542669,425.8268806574009,1232.1462106393924,1924.5736326320061,362.00620971292824,706.601714590312,307.80442112334464,1903.714351283056,2880.6484038482254,520.9903188579635,917.8152599663912,3388.306345251955,600.2188147879291,279.6446476146814,306.21954909643296,23.051326188081948,507.0203512891699,250.09040844254142,877.3317637386529,48121.924087939944,17460.461469866757,21016.29528253904,16006.633887408527
143,11900.585233102378,12778.085744719112,18904.874005297414,31837.977868788836,2249.8243253233377,7204.428223977638,562.6227168776095,8389.949023454894,682.1240661884658,7007.483937742269,9615.126662131857,6939.010723560171,8910.678252471489,13071.25393531111,2229.429475018851,13520.726509563314,3853.3205430102544,28421.177345592412,57175.30064451104,706.6493291785267,27524.206453711027,2996.902811161496,34123.27286351805,2096.2908637384166,61505.0,36.546899654918136,2689.928708542725,761.70118993192,1084.6855482111,21013.3102333944,65427.11270810073,1760.4313256404,3019.572749592712,368.7309198923386,336.9185642182796,338.85391669861485,738.8443820464471,1071.6515413056566,202.5816606764292,454.77986707081186,224.08494286623673,1190.715557561066,1556.2881913399951,359.26624579222107,576.9583776759246,2098.0726388438484,395.0610605452827,143.72338731256554,202.02750692827397,19.80767203632369,330.08119728851887,167.81863067626136,550.7356297601522,53199.767384459934,16534.398988589564,20461.357709575947,14795.891481982108
