name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
43785 solar ramp_down,,43785,solar,20020.0,1.0,-6.549999999970837,1.0,1,,PQ,1.0,20020.0
43785 wind_offshore ramp_down,,43785,wind_offshore,8360.0,1.0,-3.999999999970837,1.0,1,,PQ,1.0,8360.0
43785 wind_onshore ramp_down,,43785,wind_onshore,13633.24947,1.0,-5.259999999970837,1.0,1,,PQ,1.0,13633.24947
43786 others ramp_down,,43786,others,341.30299759,1.0,-5.299999999766936,1.0,1,,PQ,1.0,341.30299759
43786 reservoir ramp_down,,43786,reservoir,36062.200194,1.0,-5.299999999766936,1.0,1,,PQ,1.0,36062.200194
43786 solar ramp_down,,43786,solar,2000.0,1.0,-5.289999999766936,1.0,1,,PQ,1.0,2000.0
43786 wind_onshore ramp_down,,43786,wind_onshore,9217.9594595,1.0,-3.9999999997669358,1.0,1,,PQ,1.0,9217.9594595
43787 coal ramp_down,,43787,coal,8437.217028500001,1.0,42.80040958916719,1.0,1,,PQ,1.0,8437.217028500001
43787 lignite ramp_down,,43787,lignite,3505.8599857,1.0,31.03740958916719,1.0,1,,PQ,1.0,3505.8599857
43787 others ramp_down,,43787,others,9161.5,1.0,-6.527090410832814,1.0,1,,PQ,1.0,9161.5
43787 reservoir ramp_down,,43787,reservoir,362.5,1.0,-6.527090410832814,1.0,1,,PQ,1.0,362.5
43787 run_of_river ramp_down,,43787,run_of_river,536.5,1.0,-6.527090410832814,1.0,1,,PQ,1.0,536.5
43787 solar ramp_down,,43787,solar,22190.819985000002,1.0,-6.5170904108328145,1.0,1,,PQ,1.0,22190.819985000002
43787 wind_offshore ramp_down,,43787,wind_offshore,2400.0,1.0,-3.9670904108328147,1.0,1,,PQ,1.0,2400.0
43787 wind_onshore ramp_down,,43787,wind_onshore,18065.333720000002,1.0,-5.2270904108328144,1.0,1,,PQ,1.0,18065.333720000002
43788 nuclear ramp_down,,43788,nuclear,2925.5,1.0,-0.09999999997837339,1.0,1,,PQ,1.0,2925.5
43788 others ramp_down,,43788,others,4185.0,1.0,-5.299999999978374,1.0,1,,PQ,1.0,4185.0
43788 reservoir ramp_down,,43788,reservoir,16630.0,1.0,-5.299999999978374,1.0,1,,PQ,1.0,16630.0
43788 solar ramp_down,,43788,solar,7551.0714284999995,1.0,-5.289999999978374,1.0,1,,PQ,1.0,7551.0714284999995
43788 wind_offshore ramp_down,,43788,wind_offshore,750.0,1.0,-2.7399999999783735,1.0,1,,PQ,1.0,750.0
43788 wind_onshore ramp_down,,43788,wind_onshore,27075.605246500003,1.0,-3.9999999999783737,1.0,1,,PQ,1.0,27075.605246500003
5 biomass ramp_down,,5,biomass,14.759185789450237,1.0,35.5390582902698,1.0,1,,PQ,1.0,14.759185789450237
