name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
290,eGon2035,70798,70831,central_gas_boiler,103814.11123977622,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,103814.11123977622,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
291,eGon2035,70798,70832,central_gas_CHP_heat,6036.198,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,6036.198,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
292,eGon2035,70798,70832,central_gas_boiler,280346.1948634094,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,280346.1948634094,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
293,eGon2035,70798,8,OCGT,1439.2857142857144,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,1439.2857142857144,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
294,eGon2035,70798,8,central_gas_CHP,1320.1986991732185,False,inf,0.0,0.0,,0.43000000000000005,0.0,0.0,4.129899774138905,1320.1986991732185,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
295,eGon2035,70798,8,industrial_gas_CHP,550.4566622880436,False,inf,0.0,0.0,,0.43,0.0,0.0,4.15,550.4566622880436,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
296,eGon2035,70798,9,central_gas_CHP,594.3301569826165,False,inf,0.0,0.0,,0.43,0.0,0.0,4.1137500000000005,594.3301569826165,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
297,eGon2035,70798,9,industrial_gas_CHP,251.0600501703489,False,inf,0.0,0.0,,0.43,0.0,0.0,4.15,251.0600501703489,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
298,eGon2035,70812,0,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.221533589394581e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
299,eGon2035,70812,1,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.735798248484369e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
300,eGon2035,70812,10,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.187825601251892e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
301,eGon2035,70812,11,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,6.191964635063914e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
302,eGon2035,70812,12,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.519946166188845e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
303,eGon2035,70812,13,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,6.325919026604614e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
304,eGon2035,70812,14,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,4.817478324628153e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
