name,bus,p_nom_max,marginal_cost,p_nom,control,up_time_before,carrier,p_max_pu,e_nom_max,p_nom_opt
12 biomass,12,inf,42.108257668056254,20.240494617273043,PV,0,biomass,1.0,inf,20.240494617273043
12 central_biomass_CHP,12,inf,42.10572429216301,5.652276104346127,PV,0,central_biomass_CHP,1.0,inf,5.652276104346127
12 industrial_biomass_CHP,12,inf,42.10750002680723,314.9816801625633,PV,0,industrial_biomass_CHP,1.0,inf,314.9816801625633
12 load shedding,12,inf,10000.008306521642,21952602.541544367,PQ,1,load shedding,1.0,0.0,21952602.541544367
12 run_of_river,12,inf,0.009015768095636001,0.2659558719085358,PV,0,run_of_river,0.65,inf,0.2659558719085358
12 solar,12,inf,0.0174041900714532,145.74037652834758,PV,0,solar,1.0,inf,145.74037652834758
12 solar_rooftop,12,inf,0.01925913378212231,1132.047530094483,PV,0,solar_rooftop,1.0,inf,1132.047530094483
12 wind_offshore,12,inf,2.5621289963871585,8339.0,PV,0,wind_offshore,1.0,inf,8339.0
12 wind_onshore,12,inf,1.3068347143110366,6842.6069763556825,PV,0,wind_onshore,1.0,inf,6842.6069763556825
1204 load shedding,1204,inf,10000.007706522501,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
12637 load shedding,12637,inf,10000.003893793448,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
12650 load shedding,12650,inf,10000.002192172382,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
12651 load shedding,12651,inf,10000.00285261124,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
12697 load shedding,12697,inf,10000.004983509012,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
13 biomass,13,inf,42.106784208292574,10.138100831697678,PV,0,biomass,1.0,inf,10.138100831697678
13 central_biomass_CHP,13,inf,42.107569266617965,26.33521291773251,PV,0,central_biomass_CHP,1.0,inf,26.33521291773251
13 industrial_biomass_CHP,13,inf,42.1091890381528,84.77153765334742,PV,0,industrial_biomass_CHP,1.0,inf,84.77153765334742
13 load shedding,13,inf,10000.008285910311,42890055.83261269,PQ,1,load shedding,1.0,0.0,42890055.83261269
13 others,13,inf,0.012838048545908714,100.00000000000001,PV,0,others,1.0,inf,100.00000000000001
13 run_of_river,13,inf,0.007848492047247567,222.2490720923283,PV,0,run_of_river,0.65,inf,222.2490720923283
13 solar,13,inf,0.017240759474793015,1532.424535062814,PV,0,solar,1.0,inf,1532.424535062814
13 solar_rooftop,13,inf,0.017399686737723213,2704.7011748845657,PV,0,solar_rooftop,1.0,inf,2704.7011748845657
13 wind_onshore,13,inf,1.308832181962149,2843.101834549943,PV,0,wind_onshore,1.0,inf,2843.101834549943
13249 load shedding,13249,inf,10000.002482190475,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
13415 load shedding,13415,inf,10000.002495689097,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
13416 load shedding,13416,inf,10000.01286282923,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
13417 load shedding,13417,inf,10000.009719757853,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
13569 load shedding,13569,inf,10000.013297429226,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
13817 load shedding,13817,inf,10000.002068581045,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14 biomass,14,inf,42.10795937315877,92.92643181812059,PV,0,biomass,1.0,inf,92.92643181812059
14 central_biomass_CHP,14,inf,42.110354889693845,53.34521013685742,PV,0,central_biomass_CHP,1.0,inf,53.34521013685742
14 industrial_biomass_CHP,14,inf,42.10826326635447,960.3237604123807,PV,0,industrial_biomass_CHP,1.0,inf,960.3237604123807
14 load shedding,14,inf,10000.007958388245,100626669.45343748,PQ,1,load shedding,1.0,0.0,100626669.45343748
14 others,14,inf,0.0030851716184816,22.236970841666142,PV,0,others,1.0,inf,22.236970841666142
14 reservoir,14,inf,0.010124916790704461,2.5893032160638585,PV,0,reservoir,0.65,inf,2.5893032160638585
14 run_of_river,14,inf,0.007610931422296692,843.6532986579999,PV,0,run_of_river,0.65,inf,843.6532986579999
14 solar,14,inf,0.018172554512863984,3461.9588332955186,PV,0,solar,1.0,inf,3461.9588332955186
14 solar_rooftop,14,inf,0.018089144835409125,9328.75724075193,PV,0,solar_rooftop,1.0,inf,9328.75724075193
